row_label_raw,row_label_full,col_0,"Nhà xưởng,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,Tổng cộng,"numeric__Nhà xưởng,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,621.660.819.138,3.064.331.212.467,242.213.491.285,12.374.597.617,18.820.697.841,3.959.400.818.348,621660819138.0,3064331212467.0,242213491285.0,12374597617.0,18820697841.0,3959400818348.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,76.502.690.442,35.559.210.759,9.508.695.000,-,121.570.596.201,,76502690442.0,35559210759.0,9508695000.0,,121570596201.0
Đầu tư xây dựng cơbản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,-,62.454.366.006,33.504.773.030,-,-,95.959.139.036,,62454366006.0,33504773030.0,,,95959139036.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(122.852.152),101.029.970,-,-,-,(21.822.182),-122852152.0,101029970.0,,,,-21822182.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.445.715.000),(29.133.800.698),(1.007.223.391),-,(66.579.000),(31.653.318.089),-1445715000.0,-29133800698.0,-1007223391.0,,-66579000.0,-31653318089.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,620.092.251.986,3.174.255.498.187,310.270.251.683,21.883.292.617,18.754.118.841,4.145.255.413.314,620092251986.0,3174255498187.0,310270251683.0,21883292617.0,18754118841.0,4145255413314.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,694.323.419,284.604.251.798,19.148.920.529,1.170.977.398,113.339.238,305.731.812.382,694323419.0,284604251798.0,19148920529.0,1170977398.0,113339238.0,305731812382.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(180.824.570.224),(1.114.545.060.787),(52.389.277.920),(3.729.674.354),(10.770.951.837),(1.362.259.535.122),-180824570224.0,-1114545060787.0,-52389277920.0,-3729674354.0,-10770951837.0,-1362259535122.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(38.385.886.558),(294.945.297.549),(29.710.062.247),(2.686.664.614),(2.784.339.336),(368.512.250.304),-38385886558.0,-294945297549.0,-29710062247.0,-2686664614.0,-2784339336.0,-368512250304.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",913.215.000,24.422.555.144,383.391.291,-,66.579.000,25.785.740.435,913215000.0,24422555144.0,383391291.0,,66579000.0,25785740435.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(218.297.241.782),(1.385.067.803.192),(81.715.948.876),(6.416.338.968),(13.488.712.173),(1.704.986.044.991),-218297241782.0,-1385067803192.0,-81715948876.0,-6416338968.0,-13488712173.0,-1704986044991.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,440.836.248.914,1.949.786.151.680,189.824.213.365,8.644.923.263,8.049.746.004,2.597.141.283.226,440836248914.0,1949786151680.0,189824213365.0,8644923263.0,8049746004.0,2597141283226.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,401.795.010.204,1.789.187.694.995,228.554.302.807,15.466.953.649,5.265.406.668,2.440.269.368.323,401795010204.0,1789187694995.0,228554302807.0,15466953649.0,5265406668.0,2440269368323.0
