row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,284.698.354.995,1.344.757.711,286.043.112.706,284698354995.0,1344757711.0,286043112706.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,2.190.431.270,-,2.190.431.270,2190431270.0,,2190431270.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,286.888.786.265,1.344.757.711,288.233.543.976,286888786265.0,1344757711.0,288233543976.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,456.396.144,1.344.757.711,1.801.153.855,456396144.0,1344757711.0,1801153855.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(16.652.548.124),(1.344.757.711),(17.997.305.835),-16652548124.0,-1344757711.0,-17997305835.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(2.616.856.914),-,(2.616.856.914),-2616856914.0,,-2616856914.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(19.269.405.038),(1.344.757.711),(20.614.162.749),-19269405038.0,-1344757711.0,-20614162749.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,268.045.806.871,-,268.045.806.871,268045806871.0,,268045806871.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,267.619.381.227,-,267.619.381.227,267619381227.0,,267619381227.0
