row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Số cuối năm > 1.025.576.000.000 > 52.852.178.134,VND Số đầu năm > 611.276.000.000 > 51.952.178.134,numeric__Số cuối năm > 1.025.576.000.000 > 52.852.178.134,numeric__VND Số đầu năm > 611.276.000.000 > 51.952.178.134
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,4.367.000.000,,4367000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.078.428.178.134,667.595.178.134,1078428178134.0,667595178134.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(26.949.806.750),(17.966.537.833),-26949806750.0,-17966537833.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.051.478.371.384,649.628.640.301,1051478371384.0,649628640301.0
