row_label_raw,row_label_full,col_0,Cam kết góp vốn,Cam kết góp vốn_1,Thực góp,numeric__Cam kết góp vốn,numeric__Cam kết góp vốn_1,numeric__Thực góp
,,,Giá trị,% sở hữu,Giá trị,,,
Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội – Bình Định,Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội – Bình Định,Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội – Bình Định,200.000.000.000,100%,136.000.000.000,200000000000.0,1.0,136000000000.0
Cty TNHH Một Thành viên Hoa Sen Hà Nam,Cty TNHH Một Thành viên Hoa Sen Hà Nam,Cty TNHH Một Thành viên Hoa Sen Hà Nam,200.000.000.000,100%,50.000.000.000,200000000000.0,1.0,50000000000.0
Công ty Cổ phần Hoa Sen Văn Hội,Công ty Cổ phần Hoa Sen Văn Hội,Công ty Cổ phần Hoa Sen Văn Hội,70.000.000.000,70%,2.800.000.000,70000000000.0,0.7,2800000000.0
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,35.000.000.000,70%,5.500.000.000,35000000000.0,0.7,5500000000.0
Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,20.000.000.000,100%,-,20000000000.0,1.0,
Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,30.000.000.000,100%,-,30000000000.0,1.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,50.000.000.000,100%,-,50000000000.0,1.0,
Công ty TNHH Một Thành viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,50.000.000.000,100%,-,50000000000.0,1.0,
Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,100.000.000.000,100%,-,100000000000.0,1.0,
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,50.000.000.000,100%,-,50000000000.0,1.0,
Công ty Cổ phần Hoa Sen Hội Văn,Công ty Cổ phần Hoa Sen Hội Văn,Công ty Cổ phần Hoa Sen Hội Văn,22.500.000.000,45%,450.000.000,22500000000.0,0.45,450000000.0
Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,45.000.000.000,45%,450.000.000,45000000000.0,0.45,450000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,872.500.000.000,,195.200.000.000,872500000000.0,,195200000000.0
