row_label_raw,row_label_full,Công ty > Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept > Công ty Cổ phần Hoa Sen Hội Văn > Công ty Cổ phần Hoa Sen Quy Nhơn,Số cuối năm > Tỷ lệ sở hữu (%) > 45,Số cuối năm > Giá trị đầu tư (VND) > 51.952.178.134 > 450.000.000,Số đầu năm > Tỷ lệ sở hữu (%) > 45,Số đầu năm > Giá trị đầu tư (VND) > 51.952.178.134 > -,"Địa điểm > Tỉnh Bà Rịa - Vũng Tàu, Việt Nam > Tỉnh Bình Định, Việt Nam",Ngành nghề kinh doanh > Cung cấp các dịch vụ đại lý vận tải biển > Kinh doanh bất động sản và dịch vụ hỗ trợ cho kinh doanh bất động sản,numeric__Số cuối năm > Tỷ lệ sở hữu (%) > 45,numeric__Số cuối năm > Giá trị đầu tư (VND) > 51.952.178.134 > 450.000.000,numeric__Số đầu năm > Tỷ lệ sở hữu (%) > 45,numeric__Số đầu năm > Giá trị đầu tư (VND) > 51.952.178.134 > -,"numeric__Địa điểm > Tỉnh Bà Rịa - Vũng Tàu, Việt Nam > Tỉnh Bình Định, Việt Nam",numeric__Ngành nghề kinh doanh > Cung cấp các dịch vụ đại lý vận tải biển > Kinh doanh bất động sản và dịch vụ hỗ trợ cho kinh doanh bất động sản
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,,(26.949.806.750),,(17.966.537.833),,,,-26949806750.0,,-17966537833.0,,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,25.902.371.384,,33.985.640.301,,,,25902371384.0,,33985640301.0,,
