row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,63.632.969.870,55.062.184.992,63632969870.0,55062184992.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,23.835.246.313,24.210.259.090,23835246313.0,24210259090.0
Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,11.971.103.911,8.372.683.765,11971103911.0,8372683765.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",12.457.928.551,10.307.348.223,12457928551.0,10307348223.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,1.615.463.792,1.408.729.769,1615463792.0,1408729769.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,1.082.517.262,1.310.876.033,1082517262.0,1310876033.0
Khác,Khác,Khác,12.670.710.041,9.452.288.112,12670710041.0,9452288112.0
Dài hạn,Dài hạn,Dài hạn,131.621.472.215,64.337.078.607,131621472215.0,64337078607.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,65.147.659.827,5.895.995.809,65147659827.0,5895995809.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",50.315.244.895,45.000.996.782,50315244895.0,45000996782.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,11.079.041.450,12.505.051.016,11079041450.0,12505051016.0
Khác,Khác,Khác,5.079.526.043,935.035.000,5079526043.0,935035000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,195.254.442.085,119.399.263.599,195254442085.0,119399263599.0
