row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 27),Số cuối năm > 6.795.198.682,VND Số đầu năm > 6.458.860.936,numeric__Số cuối năm > 6.795.198.682,numeric__VND Số đầu năm > 6.458.860.936
Các bên khác,Các bên khác,Các bên khác,67.489.103.919,18.908.589.088,67489103919.0,18908589088.0
Trong đó:,Trong đó:,Trong đó:,,,,
Cockerill Maintenance & Ingénierie (CMI S.A),Trong đó: > Cockerill Maintenance & Ingénierie (CMI S.A),Cockerill Maintenance & Ingénierie (CMI S.A),9.954.258.160,-,9954258160.0,
Khác,Trong đó: > Khác,Khác,57.534.845.759,18.908.589.088,57534845759.0,18908589088.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,74.284.302.601,25.367.450.024,74284302601.0,25367450024.0
