row_label_raw,row_label_full,cung cấp dịch vụ,31.133.878.040.825,23.436.297.537,31.157.314.338.362,numeric__31.133.878.040.825,numeric__23.436.297.537,numeric__31.157.314.338.362
Thu nhập khác,Thu nhập khác,Thu nhập khác,109.991.563.846,(94.771.751.848),15.219.811.998,109991563846.0,-94771751848.0,15219811998.0
Chi phí khác,Chi phí khác,Chi phí khác,(87.953.216.935),71.335.454.311,(16.617.762.624),-87953216935.0,71335454311.0,-16617762624.0
