row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 27),Số cuối năm > 1.517.220.453.750,VND Số đầu năm > 1.214.432.479.886,numeric__Số cuối năm > 1.517.220.453.750,numeric__VND Số đầu năm > 1.214.432.479.886
Các bên khác,Các bên khác,Các bên khác,469.438.553.660,442.780.857.243,469438553660.0,442780857243.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.986.659.007.410,1.657.213.337.129,1986659007410.0,1657213337129.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(4.063.602.565),(2.306.413.077),-4063602565.0,-2306413077.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.982.595.404.845,1.654.906.924.052,1982595404845.0,1654906924052.0
