row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sân cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sân cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.233,433.920,17.162,503.315,52233.0,433920.0,17162.0,503315.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,56.686,-,56.686,,56686.0,,56686.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(96.302),-,(96.302),,-96302.0,,-96302.0
Tăng do nguyên nhân khác,Nguyên giá > Tăng do nguyên nhân khác,Tăng do nguyên nhân khác,-,4.504,-,4.504,,4504.0,,4504.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.233,398.808,17.162,468.203,52233.0,398808.0,17162.0,468203.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,331.152,2.905,334.057,,331152.0,2905.0,334057.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,47.108,1.934,49.042,,47108.0,1934.0,49042.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,(95.738),-,(95.738),,-95738.0,,-95738.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,282.522,4.839,287.361,,282522.0,4839.0,287361.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.233,102.768,14.257,169.258,52233.0,102768.0,14257.0,169258.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.233,116.286,12.323,180.842,52233.0,116286.0,12323.0,180842.0
