row_label_raw,row_label_full,col_0,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.850.921,4.070.948,1850921.0,4070948.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,16.807.140,19.904.061,16807140.0,19904061.0
Kinh doanh và đầu tư chứng khoán - gộp,Kinh doanh và đầu tư chứng khoán - gộp,Kinh doanh và đầu tư chứng khoán - gộp,55.884.701,46.233.375,55884701.0,46233375.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,79.340.579,63.594.389,79340579.0,63594389.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,3.750,9.150,3750.0,9150.0
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,20.734,24.040,20734.0,24040.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,52.199.962,43.427.210,52199962.0,43427210.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,86.626.856,80.800.521,86626856.0,80800521.0
Công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),104.669.640,100.252.468,104669640.0,100252468.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.711.474,8.972.781,11711474.0,8972781.0
Các cam kết và bảo lãnh,Các cam kết và bảo lãnh,Các cam kết và bảo lãnh,23.559.700,19.438.930,23559700.0,19438930.0
Nước ngoài,Nước ngoài,Nước ngoài,Nước ngoài,Nước ngoài,,
,,,31/12/2020Triệu VND,31/12/2019Triệu VND,,
Tiền gửi và cho vay các TCTD khác,Nước ngoài > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,170.625,787.856,170625.0,787856.0
Tiền gửi và vay các TCTD khác,Nước ngoài > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,3.825.761,3.590.650,3825761.0,3590650.0
Tiền gửi của khách hàng,Nước ngoài > Tiền gửi của khách hàng,Tiền gửi của khách hàng,883.332,72.122,883332.0,72122.0
