row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Vốn đầu tư xây dựng cơ bản Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Vốn đầu tư xây dựng cơ bản Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,11.750.000,400.000,(1.040.655),12.958,542.162,148.210,608,2.006.871,13.820.154,11750000.0,400000.0,-1040655.0,12958.0,542162.0,148210.0,608.0,2006871.0,13820154.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,1.043.560,1.043.560,,,,,,,,1043560.0,1043560.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,-,86.928,44.056,-,(130.984),-,,,,,86928.0,44056.0,,-130984.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(193),-,-,-,(193),,,,,-193.0,,,,-193.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,11.750.000,400.000,(1.040.655),12.958,628.897,192.266,608,2.919.447,14.863.521,11750000.0,400000.0,-1040655.0,12958.0,628897.0,192266.0,608.0,2919447.0,14863521.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,2.011.144,2.011.144,,,,,,,,2011144.0,2011144.0
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,-,-,-,-,-,-,-,869,869,,,,,,,,869.0,869.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,-,103.628,52.419,-,(156.047),-,,,,,103628.0,52419.0,,-156047.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(715),-,-,-,(715),,,,,-715.0,,,,-715.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,11.750.000,400.000,(1.040.655),12.958,731.810,244.685,608,4.775.413,16.874.819,11750000.0,400000.0,-1040655.0,12958.0,731810.0,244685.0,608.0,4775413.0,16874819.0
