row_label_raw,row_label_full,col_0,Tài chính - Ngân hàng Triệu VND,Quản lý và khai thác tài sản Triệu VND,Loại trừ giao dịch/số dư nội bộ Triệu VND,Tổng cộng Triệu VND,numeric__Tài chính - Ngân hàng Triệu VND,numeric__Quản lý và khai thác tài sản Triệu VND,numeric__Loại trừ giao dịch/số dư nội bộ Triệu VND,numeric__Tổng cộng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,27.004.701,150.258,(11.484.624),15.670.335,27004701.0,150258.0,-11484624.0,15670335.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,21.429.316,1.508,(11.411.132),10.019.692,21429316.0,1508.0,-11411132.0,10019692.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,10.024.921,1.508,(6.737),10.019.692,10024921.0,1508.0,-6737.0,10019692.0
Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,Doanh thu từ lãi nội bộ,11.404.395,-,(11.404.395),-,11404395.0,,-11404395.0,
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.139.471,-,(182),1.139.289,1139471.0,,-182.0,1139289.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,4.435.914,148.750,(73.310),4.511.354,4435914.0,148750.0,-73310.0,4511354.0
II. Chi phí,II. Chi phí,II. Chi phí,(23.422.754),(125.432),11.474.409,(12.073.777),-23422754.0,-125432.0,11474409.0,-12073777.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(16.601.420),(7.015),11.411.132,(5.197.303),-16601420.0,-7015.0,11411132.0,-5197303.0
Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(5.197.025),(7.015),6.737,(5.197.303),-5197025.0,-7015.0,6737.0,-5197303.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,(11.404.395),-,11.404.395,-,-11404395.0,,11404395.0,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(95.263),(34),(1),(95.298),-95263.0,-34.0,-1.0,-95298.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(6.726.071),(118.383),63.278,(6.781.176),-6726071.0,-118383.0,63278.0,-6781176.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,3.581.947,24.826,(10.215),3.596.558,3581947.0,24826.0,-10215.0,3596558.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(1.069.951),(3.293),-,(1.073.244),-1069951.0,-3293.0,,-1073244.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.511.996,21.533,(10.215),2.523.314,2511996.0,21533.0,-10215.0,2523314.0
III. Tài sản,III. Tài sản,III. Tài sản,177.452.440,1.156.356,(1.911.171),176.697.625,177452440.0,1156356.0,-1911171.0,176697625.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,2.204.642,-,-,2.204.642,2204642.0,,,2204642.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,308.944,-,(193),308.751,308944.0,,-193.0,308751.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,174.938.854,1.156.356,(1.910.978),174.184.232,174938854.0,1156356.0,-1910978.0,174184232.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,160.011.719,970.067,(1.158.980),159.822.806,160011719.0,970067.0,-1158980.0,159822806.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1.759.377,556.727,(552.083),1.764.021,1759377.0,556727.0,-552083.0,1764021.0
2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,2. Nợ phải trả khách hàng nội bộ,1.124.440,83,(5),1.124.518,1124440.0,83.0,-5.0,1124518.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,157.127.902,413.257,(606.892),156.934.267,157127902.0,413257.0,-606892.0,156934267.0
