row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020 Triệu VND,31/12/2019 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020 Triệu VND,numeric__31/12/2019 Triệu VND
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,,
VIII,VỐN CHỦ SỞ HỮU > VIII,VIII,Vốn và các quỹ,23,16.874.819,14.863.521,,23.0,16874819.0,14863521.0
1,VỐN CHỦ SỞ HỮU > 1,1,Vốn,,11.109.953,11.109.953,,,11109953.0,11109953.0
a,VỐN CHỦ SỞ HỮU > a,a,Vốn điều lệ,,11.750.000,11.750.000,,,11750000.0,11750000.0
b,VỐN CHỦ SỞ HỮU > b,b,Vốn đầu tư xây dựng cơ bản,,608,608,,,608.0,608.0
c,VỐN CHỦ SỞ HỮU > c,c,Thặng dư vốn cổ phần,,400.000,400.000,,,400000.0,400000.0
d,VỐN CHỦ SỞ HỮU > d,d,Cổ phiếu quỹ,,(1.040.655),(1.040.655),,,-1040655.0,-1040655.0
2,VỐN CHỦ SỞ HỮU > 2,2,Các quỹ của TCTD,,989.453,834.121,,,989453.0,834121.0
5,VỐN CHỦ SỞ HỮU > 5,5,Lợi nhuận chưa phân phối,,4.775.413,2.919.447,,,4775413.0,2919447.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,16.874.819,14.863.521,,,16874819.0,14863521.0
TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,176.697.625,156.977.946,,,176697625.0,156977946.0
