row_label_raw,row_label_full,col_0,Thuyết minh,2020 Triệu VND,2019 Triệu VND,numeric__Thuyết minh,numeric__2020 Triệu VND,numeric__2019 Triệu VND
Trích lập/(hoàn nhập) dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập/(hoàn nhập) dự phòng cụ thể tiền gửi và cho vay các TCTD khác,Trích lập/(hoàn nhập) dự phòng cụ thể tiền gửi và cho vay các TCTD khác,6,113.080,(8.781),6.0,113080.0,-8781.0
Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,Biến động dự phòng cho vay khách hàng,,,,,,
Trích lập dự phòng chung,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng chung,Trích lập dự phòng chung,10,112.402,130.849,10.0,112402.0,130849.0
Trích lập dự phòng cụ thể,Biến động dự phòng cho vay khách hàng > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,10,384.330,408.209,10.0,384330.0,408209.0
Biến động dự phòng mua nợ,Biến động dự phòng mua nợ,Biến động dự phòng mua nợ,,,,,,
Hoàn nhập dự phòng chung,Biến động dự phòng mua nợ > Hoàn nhập dự phòng chung,Hoàn nhập dự phòng chung,11,(457),-,11.0,-457.0,
Trích lập/(hoàn nhập) dự phòng cụ thể,Biến động dự phòng mua nợ > Trích lập/(hoàn nhập) dự phòng cụ thể,Trích lập/(hoàn nhập) dự phòng cụ thể,11,3.750,(65),11.0,3750.0,-65.0
Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,Biến động dự phòng mua nợ > Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,Trích lập dự phòng trái phiếu đặc biệt do VAMC phát hành,12,207.250,158.971,12.0,207250.0,158971.0
Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán(Hoàn nhập)/trích lập dự phòng chung,Biến động dự phòng mua nợ > Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán(Hoàn nhập)/trích lập dự phòng chung,Biến động dự phòng rủi ro cho số tiền chưa thu được của nợ đã bán(Hoàn nhập)/trích lập dự phòng chung,17,(27.958),10.829,17.0,-27958.0,10829.0
Trích lập dự phòng cụ thể,Biến động dự phòng mua nợ > Trích lập dự phòng cụ thể,Trích lập dự phòng cụ thể,17,280.847,225.136,17.0,280847.0,225136.0
,,,,1.073.244,925.148,,1073244.0,925148.0
