row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),USD,EUR,Tiền tệ khácvà vàng,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khácvà vàng,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,453.695,195.434,552.809,1.201.938,453695.0,195434.0,552809.0,1201938.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.206.094,-,-,1.206.094,1206094.0,,,1206094.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,5.934.988,130.754,151.390,6.217.132,5934988.0,130754.0,151390.0,6217132.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.899.148,-,-,3.899.148,3899148.0,,,3899148.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.247.923,59.423,7.022,2.314.368,2247923.0,59423.0,7022.0,2314368.0
,,,13.741.848,385.611,711.221,14.838.680,13741848.0,385611.0,711221.0,14838680.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,24.040,-,-,24.040,24040.0,,,24040.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,8.334.521,80.160,22.159,8.436.840,8334521.0,80160.0,22159.0,8436840.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,4.711.797,71.424,81.609,4.864.830,4711797.0,71424.0,81609.0,4864830.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,627.461,278.973,627.063,1.533.497,627461.0,278973.0,627063.0,1533497.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.253.732,21.595,18.528,1.293.855,1253732.0,21595.0,18528.0,1293855.0
,,,14.951.551,452.152,749.359,16.153.062,14951551.0,452152.0,749359.0,16153062.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(1.209.703),(66.541),(38.138),(1.314.382),-1209703.0,-66541.0,-38138.0,-1314382.0
