row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.041,485.750,94.481,91.228,931,707.431,35041.0,485750.0,94481.0,91228.0,931.0,707431.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,152,11.961,18.138,16.435,53,46.739,152.0,11961.0,18138.0,16435.0,53.0,46739.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(6.241),(341),(1.912),(1.127),(148),(9.769),-6241.0,-341.0,-1912.0,-1127.0,-148.0,-9769.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.952,497.370,110.707,106.536,836,744.401,28952.0,497370.0,110707.0,106536.0,836.0,744401.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,15.258,375.687,68.975,83.381,890,544.191,15258.0,375687.0,68975.0,83381.0,890.0,544191.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,730,29.993,8.858,6.855,33,46.469,730.0,29993.0,8858.0,6855.0,33.0,46469.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(4.040),(341),(1.912),(1.074),(148),(7.515),-4040.0,-341.0,-1912.0,-1074.0,-148.0,-7515.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.948,405.339,75.921,89.162,775,583.145,11948.0,405339.0,75921.0,89162.0,775.0,583145.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.783,110.063,25.506,7.847,41,163.240,19783.0,110063.0,25506.0,7847.0,41.0,163240.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,17.004,92.031,34.786,17.374,61,161.256,17004.0,92031.0,34786.0,17374.0,61.0,161256.0
