row_label_raw,row_label_full,col_0,Doanh thu/(Chi phí),Doanh thu/(Chi phí)_1,numeric__Doanh thu/(Chi phí),numeric__Doanh thu/(Chi phí)_1
,,,2020Triệu VND,2019Triệu VND,,
"Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"")","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"")","Tổng công ty Bưu chính viễn thông Việt Nam (""VNPT"")",,,,
- Cổ đông lớn,- Cổ đông lớn,- Cổ đông lớn,,,,
▪ Chi phí lãi tiền gửi,- Cổ đông lớn > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(47),(83),-47.0,-83.0
Công ty cổ phần đầu tư TNG Holding Việt Nam-Bên liên quan của thành viên HĐQT,Công ty cổ phần đầu tư TNG Holding Việt Nam-Bên liên quan của thành viên HĐQT,Công ty cổ phần đầu tư TNG Holding Việt Nam-Bên liên quan của thành viên HĐQT,,,,
▪ Chi phí lãi tiền gửi,Công ty cổ phần đầu tư TNG Holding Việt Nam-Bên liên quan của thành viên HĐQT > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(11),(5),-11.0,-5.0
"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này",,,,
▪ Thù lao của Hội đồng quản trị,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thù lao của Hội đồng quản trị",▪ Thù lao của Hội đồng quản trị,(15.522),(13.541),-15522.0,-13541.0
▪ Thù lao của Ban kiểm soát,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thù lao của Ban kiểm soát",▪ Thù lao của Ban kiểm soát,(4.780),(4.560),-4780.0,-4560.0
▪ Thu nhập của Tổng Giám đốc và các chức danh quản lý khác,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thu nhập của Tổng Giám đốc và các chức danh quản lý khác",▪ Thu nhập của Tổng Giám đốc và các chức danh quản lý khác,(37.996),(39.081),-37996.0,-39081.0
▪ Chi phí lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(3.239),(2.623),-3239.0,-2623.0
▪ Thu nhập lãi tiền vay,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thu nhập lãi tiền vay",▪ Thu nhập lãi tiền vay,1.437,791,1437.0,791.0
