row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Viểm,Trong năm > VND Chênh lệch tỷ giả cuối năm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Viểm,numeric__Trong năm > VND Chênh lệch tỷ giả cuối năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,,,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II,Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II,29.400.000.000,29.400.000.000,-,29.400.000.000,-,-,-,29400000000.0,29400000000.0,,29400000000.0,,,
Vay hợp vốn của 9 Chi nhánh ngân hàng thương mại do Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II làm đầu mối,Vay dài hạn đến hạn trả > Vay hợp vốn của 9 Chi nhánh ngân hàng thương mại do Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II làm đầu mối,Vay hợp vốn của 9 Chi nhánh ngân hàng thương mại do Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch II làm đầu mối,714.233.888.973,714.233.888.973,-,714.233.888.973,-,-,-,714233888973.0,714233888973.0,,714233888973.0,,,
Ngân hàng Crédit Agricole Corporate and Investment,Vay dài hạn đến hạn trả > Ngân hàng Crédit Agricole Corporate and Investment,Ngân hàng Crédit Agricole Corporate and Investment,70.353.828.238,70.353.828.238,-,70.353.828.238,-,-,-,70353828238.0,70353828238.0,,70353828238.0,,,
,,,813.987.717.211,813.987.717.211,-,813.987.717.211,-,-,-,813987717211.0,813987717211.0,,813987717211.0,,,
Tổng cộng,Vay dài hạn đến hạn trả > Tổng cộng,Tổng cộng,2.376.947.182.563,2.376.947.182.563,4.269.269.986.760,5.035.602.394.249,513.276.667,1.611.128.051.741,1.611.128.051.741,2376947182563.0,2376947182563.0,4269269986760.0,5035602394249.0,513276667.0,1611128051741.0,1611128051741.0
