row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,857.842.396.844,5.359.513.873.917,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,857842396844.0,5359513873917.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,607.239.854.857,607.239.854.857,,,,,607239854857.0,607239854857.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,(122.255.000.000),(122.255.000.000),,,,,-122255000000.0,-122255000000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,154.328.000.000,(154.328.000.000),-,,,,154328000000.0,-154328000000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,730.648.958.501,5.386.648.435.574,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,730648958501.0,5386648435574.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,368.517.651.583,368.517.651.583,,,,,368517651583.0,368517651583.0
"Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(129.407.000.000),(129.407.000.000),,,,,-129407000000.0,-129407000000.0
Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),-,-,-,22.577.830.000,(22.577.830.000),-,,,,22577830000.0,-22577830000.0,
Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,-457850293200.0,-457850293200.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.790.410.045,(902.752.100),792.790.539.128,489.331.486.884,5.167.908.793.957,3815899110000.0,70790410045.0,-902752100.0,792790539128.0,489331486884.0,5167908793957.0
