row_label_raw,row_label_full,col_0,Số đầu năm > Phải thu,Số đầu năm > Phải trả,Số phải nộp/thực thu trong năm,Số đã thực nộp/được khấu trừtrong năm,Số cuối năm > Phải thu,Số cuối năm > Phải trả,numeric__Số đầu năm > Phải thu,numeric__Số đầu năm > Phải trả,numeric__Số phải nộp/thực thu trong năm,numeric__Số đã thực nộp/được khấu trừtrong năm,numeric__Số cuối năm > Phải thu,numeric__Số cuối năm > Phải trả
,,,,VND,VND,VND,,VND,,,,,,
Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,7.500.000.000,430.561.434,194.555.637.119,187.486.198.553,-,-,7500000000.0,430561434.0,194555637119.0,187486198553.0,,
Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,-,265.490.714,265.490.714,-,-,,,265490714.0,265490714.0,,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,39.534.042,39.534.042,-,-,,,39534042.0,39534042.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,31.289.543.304,93.123.113.586,92.766.586.209,-,31.646.070.681,,31289543304.0,93123113586.0,92766586209.0,,31646070681.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,5.023.223.561,22.891.994.771,18.244.298.613,-,9.670.919.719,,5023223561.0,22891994771.0,18244298613.0,,9670919719.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,4.377.763.110,48.031.273.028,48.302.134.038,-,4.106.902.100,,4377763110.0,48031273028.0,48302134038.0,,4106902100.0
"Thuế, phí khác","Thuế, phí khác","Thuế, phí khác",18.332.008,10.512.818.442,76.278.228.994,85.069.855.867,-,1.702.859.561,18332008.0,10512818442.0,76278228994.0,85069855867.0,,1702859561.0
,,,7.518.332.008,51.633.909.851,435.185.272.254,432.174.098.036,-,47.126.752.061,7518332008.0,51633909851.0,435185272254.0,432174098036.0,,47126752061.0
