row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.634.750.943.193,4.648.054.809.831,,300.0,,3634750943193.0,4648054809831.0
I.,I.,I.,Nợ ngắn hạn,310,,3.619.235.887.859,4.628.599.746.466,,310.0,,3619235887859.0,4628599746466.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,1.208.301.073.996,1.367.654.722.815,,311.0,14.0,1208301073996.0,1367654722815.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,73.652.993.088,63.658.086.465,,312.0,15.0,73652993088.0,63658086465.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,47.126.752.061,51.633.909.851,,313.0,16.0,47126752061.0,51633909851.0
4.,4.,4.,Phải trả người lao động,314,,196.712.964.422,147.960.435.760,,314.0,,196712964422.0,147960435760.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,7.396.332.760,33.544.390.426,,315.0,17.0,7396332760.0,33544390426.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,18,136.004.223.632,103.319.361.971,,318.0,18.0,136004223632.0,103319361971.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,201.355.842.320,384.688.787.493,,319.0,19.0,201355842320.0,384688787493.0
8.,8.,8.,Vay ngắn hạn,320,20,1.611.128.051.741,2.376.947.182.563,,320.0,20.0,1611128051741.0,2376947182563.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,137.557.653.839,99.192.869.122,,322.0,,137557653839.0,99192869122.0
II.,II.,II.,Nợ dài hạn,330,,15.515.055.334,19.455.063.365,,330.0,,15515055334.0,19455063365.0
1.,1.,1.,Dự phòng phải trả dài hạn,342,21,15.515.055.334,14.422.063.365,,342.0,21.0,15515055334.0,14422063365.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,,-,5.033.000.000,,343.0,,,5033000000.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.167.908.793.957,5.386.648.435.574,,400.0,,5167908793957.0,5386648435574.0
I.,I.,I.,Vốn chủ sở hữu,410,22,5.167.908.793.957,5.386.648.435.574,,410.0,22.0,5167908793957.0,5386648435574.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.815.899.110.000,3.815.899.110.000,,411.0,,3815899110000.0,3815899110000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.815.899.110.000,3.815.899.110.000,,,,3815899110000.0,3815899110000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.790.410.045,70.790.410.045,,412.0,,70790410045.0,70790410045.0
3.,3.,3.,Cổ phiếu quỹ,415,,(902.752.100),(902.752.100),,415.0,,-902752100.0,-902752100.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,792.790.539.128,770.212.709.128,,418.0,,792790539128.0,770212709128.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,489.331.486.884,730.648.958.501,,421.0,,489331486884.0,730648958501.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,120.813.835.301,123.409.103.644,,,,120813835301.0,123409103644.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,368.517.651.583,607.239.854.857,,,,368517651583.0,607239854857.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,8.802.659.737.150,10.034.703.245.405,,440.0,,8802659737150.0,10034703245405.0
