row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,VNDChênh lệch tỷ giả cuối năm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__VNDChênh lệch tỷ giả cuối năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),586.994.803.272,586.994.803.272,1.661.698.601.687,1.707.930.911.076,-,540.762.493.883,540.762.493.883,586994803272.0,586994803272.0,1661698601687.0,1707930911076.0,,540762493883.0,540762493883.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),530.367.173.303,530.367.173.303,1.249.807.169.765,1.550.672.758.068,-,229.501.585.000,229.501.585.000,530367173303.0,530367173303.0,1249807169765.0,1550672758068.0,,229501585000.0,229501585000.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),149.820.872.310,149.820.872.310,236.534.083.178,308.943.624.146,-,77.411.331.342,77.411.331.342,149820872310.0,149820872310.0,236534083178.0,308943624146.0,,77411331342.0,77411331342.0
Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),21.793.724.220,21.793.724.220,159.613.262.589,21.793.724.220,-,159.613.262.589,159.613.262.589,21793724220.0,21793724220.0,159613262589.0,21793724220.0,,159613262589.0,159613262589.0
Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),Vay ngắn hạn ngân hàng > Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),-,-,202.306.766.324,47.985.434.253,-,154.321.332.071,154.321.332.071,,,202306766324.0,47985434253.0,,154321332071.0,154321332071.0
Maybank International Labuan Branch (vi),Vay ngắn hạn ngân hàng > Maybank International Labuan Branch (vi),Maybank International Labuan Branch (vi),215.570.334.513,215.570.334.513,232.444.599.797,389.830.658.250,513.276.667,58.697.552.727,58.697.552.727,215570334513.0,215570334513.0,232444599797.0,389830658250.0,513276667.0,58697552727.0,58697552727.0
Ngân hàng TNHH MTV Shinhan Việt Nam (vii),Vay ngắn hạn ngân hàng > Ngân hàng TNHH MTV Shinhan Việt Nam (vii),Ngân hàng TNHH MTV Shinhan Việt Nam (vii),58.412.557.734,58.412.557.734,118.066.953.045,116.597.384.489,-,59.882.126.290,59.882.126.290,58412557734.0,58412557734.0,118066953045.0,116597384489.0,,59882126290.0,59882126290.0
Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Hồ Chí Minh (viii),Vay ngắn hạn ngân hàng > Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Hồ Chí Minh (viii),Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Hồ Chí Minh (viii),-,-,408.798.550.375,77.860.182.536,-,330.938.367.839,330.938.367.839,,,408798550375.0,77860182536.0,,330938367839.0,330938367839.0
,,,1.562.959.465.352,1.562.959.465.352,4.269.269.986.760,4.221.614.677.038,513.276.667,1.611.128.051.741,1.611.128.051.741,1562959465352.0,1562959465352.0,4269269986760.0,4221614677038.0,513276667.0,1611128051741.0,1611128051741.0
