row_label_raw,row_label_full,Số dư cuối năm,31/12/2017Triệu VNDPhải thu/(Phải trả),31/12/2016Triệu VND,numeric__31/12/2017Triệu VNDPhải thu/(Phải trả),numeric__31/12/2016Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi từ công ty con,Công ty con > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(717.747),(109.767),-717747.0,-109767.0
Lãi phải trả công ty con,Công ty con > Lãi phải trả công ty con,Lãi phải trả công ty con,(271),(295),-271.0,-295.0
Đầu tư góp vốn vào công ty con,Công ty con > Đầu tư góp vốn vào công ty con,Đầu tư góp vốn vào công ty con,955.000,955.000,955000.0,955000.0
Khoản phải thu khác từ công ty con,Công ty con > Khoản phải thu khác từ công ty con,Khoản phải thu khác từ công ty con,-,4.000,,4000.0
Phải trả công ty con,Công ty con > Phải trả công ty con,Phải trả công ty con,(210.839),(806.930),-210839.0,-806930.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(1.397.271),(1.830.566),-1397271.0,-1830566.0
Vay từ các cổ đông lớn,Các cổ đông lớn > Vay từ các cổ đông lớn,Vay từ các cổ đông lớn,(1.065.490),(454.000),-1065490.0,-454000.0
Tiền gửi tại các cổ đông lớn,Các cổ đông lớn > Tiền gửi tại các cổ đông lớn,Tiền gửi tại các cổ đông lớn,1.849.452,736.132,1849452.0,736132.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(86.463),(264.466),-86463.0,-264466.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(625),(6.873),-625.0,-6873.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,2.637,156.785,2637.0,156785.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,-,1.495,,1495.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2017Triệu VNDThu nhập/(Chi phí),2016Triệu VND,,
Công ty con,Công ty con,Công ty con,,,,
Chỉ phí lãi,Công ty con > Chỉ phí lãi,Chỉ phí lãi,(6.568),(5.735),-6568.0,-5735.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Thu nhập lãi,Các cổ đông lớn > Thu nhập lãi,Thu nhập lãi,898,902,898.0,902.0
Chỉ phí lãi,Các cổ đông lớn > Chỉ phí lãi,Chỉ phí lãi,(22.332),(14.533),-22332.0,-14533.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu nhập lãi,Các bên liên quan khác (*) > Thu nhập lãi,Thu nhập lãi,176,3.748,176.0,3748.0
Chỉ phí lãi,Các bên liên quan khác (*) > Chỉ phí lãi,Chỉ phí lãi,(6.065),(6.440),-6065.0,-6440.0
Thù lao trả cho các Thành viên Hội đồng Quản trị (**),Các bên liên quan khác (*) > Thù lao trả cho các Thành viên Hội đồng Quản trị (**),Thù lao trả cho các Thành viên Hội đồng Quản trị (**),(21.175),-,-21175.0,
Thù lao trả cho Ban Kiểm soát (**),Các bên liên quan khác (*) > Thù lao trả cho Ban Kiểm soát (**),Thù lao trả cho Ban Kiểm soát (**),(4.500),-,-4500.0,
Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Các bên liên quan khác (*) > Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,(38.285),(40.560),-38285.0,-40560.0
