row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Tổng Triệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",543.773,252.399,1.486.020,2.282.192,543773.0,252399.0,1486020.0,2282192.0
Tải sản cố định,Tài sản > Tải sản cố định,Tải sản cố định,24.310,7.656,3.132.618,3.164.584,24310.0,7656.0,3132618.0,3164584.0
Tải sản khác,Tài sản > Tải sản khác,Tải sản khác,19.149.271,11.409.858,114.246.632,144.805.761,19149271.0,11409858.0,114246632.0,144805761.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,(19.462.878),(8.466.877),(104.639.834),(132.569.589),-19462878.0,-8466877.0,-104639834.0,-132569589.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,(59),(18),(6.256),(6.333),-59.0,-18.0,-6256.0,-6333.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,(12.451),(3.393.271),(59.304),(3.465.026),-12451.0,-3393271.0,-59304.0,-3465026.0
