row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2017Triệu VND,2016Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2017Triệu VND,numeric__2016Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,8.950.649,8.310.573,,22.0,8950649.0,8310573.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(6.289.464),(5.234.241),,22.0,-6289464.0,-5234241.0
I,I,I,Thu nhập lãi thuần,22,2.661.185,3.076.332,,22.0,2661185.0,3076332.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,606.610,595.100,,23.0,606610.0,595100.0
4,4,4,Chi phí hoạt động dịch vụ,23,(287.898),(311.100),,23.0,-287898.0,-311100.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,23,318.712,284.000,,23.0,318712.0,284000.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,24,227.832,259.839,,24.0,227832.0,259839.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,25,67.942,23.205,,25.0,67942.0,23205.0
5,5,5,Thu nhập từ hoạt động khác,26,696.458,142.354,,26.0,696458.0,142354.0
6,6,6,Chi phí hoạt động khác,26,(267.504),(74.397),,26.0,-267504.0,-74397.0
VI,VI,VI,Lãi thuần từ hoạt động khác,26,428.954,67.957,,26.0,428954.0,67957.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",27,107.648,545,,27.0,107648.0,545.0
VIII,VIII,VIII,Chi phí hoạt động,28,(2.198.525),(2.247.669),,28.0,-2198525.0,-2247669.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,,1.613.748,1.464.209,,,1613748.0,1464209.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,29,(604.576),(1.089.066),,29.0,-604576.0,-1089066.0
XI,XI,XI,Tổng lợi nhuận kế toán trước thuế(mang sang trang sau),,1.009.172,375.143,,,1009172.0,375143.0
