row_label_raw,row_label_full,col_0,col_1,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__col_1,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,,,,,
Đầu tư vào công ty con (i),Đầu tư dài hạn > Đầu tư vào công ty con (i),Đầu tư vào công ty con (i),Đầu tư vào công ty con (i),955.000,955.000,,955000.0,955000.0
Đầu tư dài hạn khác (ii),Đầu tư dài hạn > Đầu tư dài hạn khác (ii),Đầu tư dài hạn khác (ii),Đầu tư dài hạn khác (ii),1.480.063,1.937.865,,1480063.0,1937865.0
,,,,2.435.063,2.892.865,,2435063.0,2892865.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,,,,
Dự phòng giảm giá đầu tư dài hạn (iii),Dự phòng giảm giá đầu tư dài hạn > Dự phòng giảm giá đầu tư dài hạn (iii),Dự phòng giảm giá đầu tư dài hạn (iii),Dự phòng giảm giá đầu tư dài hạn (iii),(102.854),(81.057),,-102854.0,-81057.0
,,,,2.332.209,2.811.808,,2332209.0,2811808.0
(i),(i),(i),Đầu tư vào công ty con:,,,,,
(i),(i),(i),Đầu tư vào công ty con:,31/12/2017Triệu VND,31/12/2016Triệu VND,,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Quản lý nợ và Khai thác Tài sản Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,955.000,955.000,,955000.0,955000.0
(ii),(ii),(ii),Đầu tư dài hạn khác:,,,,,
(ii),(ii),(ii),Đầu tư dài hạn khác:,31/12/2017Triệu VND,31/12/2016Triệu VND,,,
(ii),(ii) > (ii),(ii),Đầu tư vào cổ phiếu của các tổ chức tín dụng khác trong nước▪ Đã niêm yết,1.214.861,1.672.663,,1214861.0,1672663.0
(ii),(ii) > (ii),(ii),Đầu tư vào cổ phiếu của các tổ chức kinh tế trong nước▪ Đã niêm yết▪ Chưa niêm yết,52.483212.719,52.483212.719,,52483212719.0,52483212719.0
(ii),(ii) > (ii),(ii),,1.480.063,1.937.865,,1480063.0,1937865.0
