row_label_raw,row_label_full,Được phân loại là tài sản tài chính được xác định theo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh- Các công cụ tài chính phải sinh và các tài sản tài chính khác > Được phân loại là các khoản đầu tư nằm giữ đến ngày đáo hạn:- Tín phiếu Ngân hàng Nhà nước không có giá niêm yết,31/12/2017 > Giá trị ghi số Triệu VND > 30.274 > 2.000.000,31/12/2017 > Giá trị hợp lý Triệu VND > (*),31/12/2016 > Giá trị ghi số Triệu VND > 9.841 > -,31/12/2016 > Giá trị hợp lý Triệu VND > (*) > -,numeric__31/12/2017 > Giá trị ghi số Triệu VND > 30.274 > 2.000.000,numeric__31/12/2017 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 9.841 > -,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*) > -
- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,-,-,100.000,(*),,,100000.0,
- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,8.561.984,(*),10.707.617,(*),8561984.0,,10707617.0,
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại Ngân hàng Nhà nước Việt Nam,3.277.007,3.277.007,3.765.279,3.765.279,3277007.0,3277007.0,3765279.0,3765279.0
- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,15.245.884,(*),8.281.291,(*),15245884.0,,8281291.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,100.268.300,(*),85.824.814,(*),100268300.0,,85824814.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,745.395,(*),571.341,(*),745395.0,,571341.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",993.421,(*),840.477,(*),993421.0,,840477.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán:- Trái phiếu Chính phủ có giá niêm yết,4.000.222,4.201.520,6.432.211,6.565.945,4000222.0,4201520.0,6432211.0,6565945.0
- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,38.150,38.638,33.570,33.570,38150.0,38638.0,33570.0,33570.0
- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,- Trái phiếu Chính phủ không có giá niêm yết,5.425.070,(*),2.922.558,(*),5425070.0,,2922558.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",2.332.209,(*),2.811.808,(*),2332209.0,,2811808.0,
