row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạn > Quá hạn trên 3 tháng Triệu VND,Quá hạn > Quá hạn đến 3 tháng Triệu VND,Quá hạn > Đến 1 tháng Triệu VND,Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,Trong hạn > Từ trên 1 đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Trong hạn > Tổng Triệu VND,numeric__Quá hạn > Quá hạn trên 3 tháng Triệu VND,numeric__Quá hạn > Quá hạn đến 3 tháng Triệu VND,numeric__Quá hạn > Đến 1 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Trong hạn > Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.020.054,-,-,-,-,2.020.054,,,2020054.0,,,,,2020054.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.765.279,-,-,-,-,3.765.279,,,3765279.0,,,,,3765279.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,110.550,-,7.628.491,652.800,-,-,-,8.391.841,110550.0,,7628491.0,652800.0,,,,8391841.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,9.841,-,-,-,9.841,,,,9841.0,,,,9841.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.560.148,411.522,3.499.824,11.014.281,19.459.125,15.819.722,34.126.705,86.891.327,2560148.0,411522.0,3499824.0,11014281.0,19459125.0,15819722.0,34126705.0,86891327.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,1.270,250.832,2.827.276,17.987.635,575.000,21.642.013,,,1270.0,250832.0,2827276.0,17987635.0,575000.0,21642013.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.892.865,2.892.865,,,,,,,2892865.0,2892865.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,10.740,4.174,55.348,181.690,3.059.814,3.311.766,,,10740.0,4174.0,55348.0,181690.0,3059814.0,3311766.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,49.615,-,967.151,135.047,714.841,1.597.913,-,3.464.567,49615.0,,967151.0,135047.0,714841.0,1597913.0,,3464567.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.720.313,411.522,17.892.809,12.066.975,23.056.590,35.586.960,40.654.384,132.389.553,2720313.0,411522.0,17892809.0,12066975.0,23056590.0,35586960.0,40654384.0,132389553.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.048.581,24.384,38.707,-,-,1.111.672,,,1048581.0,24384.0,38707.0,,,1111672.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,2.716.135,3.768.200,-,-,-,6.484.335,,,2716135.0,3768200.0,,,,6484335.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,46.582.130,19.926.252,31.739.335,4.213.041,504,102.461.262,,,46582130.0,19926252.0,31739335.0,4213041.0,504.0,102461262.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.000.000,-,3.000.000,,,,,,3000000.0,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.178.147,27.442,885.572,116.609,-,3.207.770,,,2178147.0,27442.0,885572.0,116609.0,,3207770.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,52.524.993,23.746.278,32.663.614,7.329.650,504,116.265.039,,,52524993.0,23746278.0,32663614.0,7329650.0,504.0,116265039.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.720.313,411.522,(34.632.184),(11.679.303),(9.607.024),28.257.310,40.653.880,16.124.514,2720313.0,411522.0,-34632184.0,-11679303.0,-9607024.0,28257310.0,40653880.0,16124514.0
