row_label_raw,row_label_full,2017,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tổng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.405.162,160.405,2.565.567,2405162.0,160405.0,2565567.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,9.531,9.531,,9531.0,9531.0
Chuyển từ tài sản có khác,Nguyên giá > Chuyển từ tài sản có khác,Chuyển từ tài sản có khác,17.713,-,17.713,17713.0,,17713.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(91.295),-,(91.295),-91295.0,,-91295.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.331.580,169.936,2.501.516,2331580.0,169936.0,2501516.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,108.169,108.169,,108169.0,108169.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,13.831,13.831,,13831.0,13831.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,122.000,122.000,,122000.0,122000.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.405.162,52.236,2.457.398,2405162.0,52236.0,2457398.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.331.580,47.936,2.379.516,2331580.0,47936.0,2379516.0
