row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuếTriệu VNDTăng/(giảm),numeric__Ảnh hưởng đến lợi nhuận sau thuếTriệu VNDTăng/(giảm)
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,
USD (mạnh lên 1%),Ngày 31 tháng 12 năm 2017 > USD (mạnh lên 1%),USD (mạnh lên 1%),675,675.0
EUR (mạnh lên 14%),Ngày 31 tháng 12 năm 2017 > EUR (mạnh lên 14%),EUR (mạnh lên 14%),(1.529),-1529.0
XAU (mạnh lên 3%),Ngày 31 tháng 12 năm 2017 > XAU (mạnh lên 3%),XAU (mạnh lên 3%),3.956,3956.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,
USD (mạnh lên 1%),Ngày 31 tháng 12 năm 2016 > USD (mạnh lên 1%),USD (mạnh lên 1%),6.102,6102.0
EUR (yếu đi 3%),Ngày 31 tháng 12 năm 2016 > EUR (yếu đi 3%),EUR (yếu đi 3%),6,6.0
XAU (mạnh lên 9%),Ngày 31 tháng 12 năm 2016 > XAU (mạnh lên 9%),XAU (mạnh lên 9%),13.138,13138.0
