row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017) > Tài sảnTriệu VND,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017) > Công nợTriệu VND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Triệu VND,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017) > Tài sảnTriệu VND,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017) > Công nợTriệu VND
Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,12.432.96330.944.269,105.236-,-(74.962),1243296330944269.0,,
,,,43.377.232,105.236,(74.962),43377232.0,105236.0,-74962.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2017),,,
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Triệu VND,Tài sảnTriệu VND,Công nợTriệu VND,,,
Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2016 > Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,475.48110.275.173,-13.196,(3.355)-,47548110275173.0,-13196.0,
,,,10.750.654,13.196,(3.355),10750654.0,13196.0,-3355.0
