row_label_raw,row_label_full,col_0,Tỷ giá hối đoái tại ngày > 31/12/2017,Tỷ giá hối đoái tại ngày > 31/12/2016,numeric__Tỷ giá hối đoái tại ngày > 31/12/2017,numeric__Tỷ giá hối đoái tại ngày > 31/12/2016
USD/VND,USD/VND,USD/VND,22.670,22.700,22670.0,22700.0
EUR/VND,EUR/VND,EUR/VND,27.102,23.793,27102.0,23793.0
XAU/VND (chi),XAU/VND (chi),XAU/VND (chi),3.614.000,3.500.000,3614000.0,3500000.0
GBP/VND,GBP/VND,GBP/VND,30.527,27.928,30527.0,27928.0
CHF/VND,CHF/VND,CHF/VND,23.188,22.236,23188.0,22236.0
CAD/VND,CAD/VND,CAD/VND,17.963,16.852,17963.0,16852.0
AUD/VND,AUD/VND,AUD/VND,17.624,16.329,17624.0,16329.0
SGD/VND,SGD/VND,SGD/VND,16.894,15.632,16894.0,15632.0
NZD/VND,NZD/VND,NZD/VND,16.009,15.709,16009.0,15709.0
HKD/VND,HKD/VND,HKD/VND,2.892,2.919,2892.0,2919.0
NOK/VND,NOK/VND,NOK/VND,2.744,2.492,2744.0,2492.0
THB/VND,THB/VND,THB/VND,694,631,694.0,631.0
JPY/VND,JPY/VND,JPY/VND,201,194,201.0,194.0
