row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,numeric__Từ 10 đến90 ngàyTriệu VND,numeric__Từ 91 đến180 ngàyTriệu VND,numeric__Quá hạnTừ 181 đến360 ngàyTriệu VND,numeric__Trên360 ngàyTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,268.873,749.644,322.996,514.951,1.856.464,268873.0,749644.0,322996.0,514951.0,1856464.0
Tài sản có khác – gộp,Các khoản cho vay và phải thu > Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,-,5.865,5.865,,,,5865.0,5865.0
,,,268.873,749.644,322.996,520.816,1.862.329,268873.0,749644.0,322996.0,520816.0,1862329.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,-,110.550,110.550,,,,110550.0,110550.0
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,331.659,1.044.497,318.928,767.111,2.462.195,331659.0,1044497.0,318928.0,767111.0,2462195.0
Tài sản có khác – gộp,Các khoản cho vay và phải thu > Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,-,49.615,49.615,,,,49615.0,49615.0
,,,331.659,1.044.497,318.928,927.276,2.622.360,331659.0,1044497.0,318928.0,927276.0,2622360.0
