row_label_raw,row_label_full,2017,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,464.864,610.063,232.139,46.165,581.640,1.934.871,464864.0,610063.0,232139.0,46165.0,581640.0,1934871.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,963,58.815,829,773,5.707,67.087,963.0,58815.0,829.0,773.0,5707.0,67087.0
Chuyển từ tài sản có khác,Nguyên giá > Chuyển từ tài sản có khác,Chuyển từ tài sản có khác,499,-,-,-,-,499,499.0,,,,,499.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(2.858),(646),(983),-,4.487,-,-2858.0,-646.0,-983.0,,4487.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(22.836),(3.102),(15.832),(606),(275),(42.651),-22836.0,-3102.0,-15832.0,-606.0,-275.0,-42651.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,440.632,665.130,216.153,46.332,591.559,1.959.806,440632.0,665130.0,216153.0,46332.0,591559.0,1959806.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.631,413.297,175.029,35.715,403.831,1.080.503,52631.0,413297.0,175029.0,35715.0,403831.0,1080503.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,10.917,48.706,19.779,3.286,41.875,124.563,10917.0,48706.0,19779.0,3286.0,41875.0,124563.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(582),(335),(196),-,1.113,-,-582.0,-335.0,-196.0,,1113.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(10.513),(3.102),(15.832),(606),(275),(30.328),-10513.0,-3102.0,-15832.0,-606.0,-275.0,-30328.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.453,458.566,178.780,38.395,446.544,1.174.738,52453.0,458566.0,178780.0,38395.0,446544.0,1174738.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,412.233,196.766,57.110,10.450,177.809,854.368,412233.0,196766.0,57110.0,10450.0,177809.0,854368.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,388.179,206.564,37.373,7.937,145.015,785.068,388179.0,206564.0,37373.0,7937.0,145015.0,785068.0
