row_label_raw,row_label_full,Tên ngân hàng và tổ chức,Số tiền,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,Tài sản thế chấp,numeric__Số tiền,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất,numeric__Tài sản thế chấp
Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,,,,
Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,Công ty CP BOT và BT Đức Long Gia lai > Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,20.057.027.370,Từ ngày giải ngân đầu tiên đến hết ngày31/12/2021,"8,5%/năm",Tín chấp,20057027370.0,,,
Tổng cộng,Công ty CP BOT và BT Đức Long Gia lai > Tổng cộng,Tổng cộng,20.057.027.370,,,,20057027370.0,,,
20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,20b. Vay ngắn hạn phải trả các tổ chức khácChi tiết của các khoản vay như sau:,,,,
Tên ngân hàng và tổ chức,Tên ngân hàng và tổ chức,Tên ngân hàng và tổ chức,Số tiền,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,Tài sản thế chấp,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,,,,
Hợp đồng tín dụng hạn mức số 01/2017/370018/HĐTD ngày 11/10/2017,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Hợp đồng tín dụng hạn mức số 01/2017/370018/HĐTD ngày 11/10/2017,Hợp đồng tín dụng hạn mức số 01/2017/370018/HĐTD ngày 11/10/2017,176.254.815.400,Từ ngày 11/10/2017 đến hết ngày 31/8/2018,Lãi suất vay được xác định trong từng Hợp đồng tín dụng cụ thể.,"Máy móc, thiết bị chế biến gỗ (Thuyết minh số V.9).",176254815400.0,,,
Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,,,,
Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,22.605.060.130,Từ ngày 02/01/2018 đến hết ngày đến hết ngày 31/12/2018,"Lãi suất vay trong bắt kỳ kỳ hạn tính lãi nào là lãi suất ngày và bằng tổng của lãi suất cơ sở cộng biên độ tối thiểu 3,5%/năm. Lãi suất vay tại thời điểm ký hợp đồng là 9%/năm và chi có giá trị cho kỳ tính lãi đầu tiên.",Dược báo lãnh bởi ông Bùi Pháp (Chủ tịch HDQT) và Bà Nguyễn Thị Hương và một số phương tiện vận tải khác thuộc sở hữu của Công ty.,22605060130.0,,,
Tổng cộng,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Tổng cộng,Tổng cộng,198.859.875.530,,,,198859875530.0,,,
