row_label_raw,row_label_full,Số đầu năm,Năm nay > (356.187.585.692),Năm trước > (89.867.059.844),numeric__Năm nay > (356.187.585.692),numeric__Năm trước > (89.867.059.844)
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,(92.744.504.710),(288.601.540.162),-92744504710.0,-288601540162.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,142.403.027.383,22.281.014.314,142403027383.0,22281014314.0
Số cuối năm,Số cuối năm,Số cuối năm,(306.529.063.019),(356.187.585.692),-306529063019.0,-356187585692.0
