row_label_raw,row_label_full,col_0,"Hoạt động bán gỗ, thành phẩm từ gỗ",Hoạt động bán phân bón,Hoạt động bán đá,Cho thuê tài sản,Hoạt động khác,Cộng,"numeric__Hoạt động bán gỗ, thành phẩm từ gỗ",numeric__Hoạt động bán phân bón,numeric__Hoạt động bán đá,numeric__Cho thuê tài sản,numeric__Hoạt động khác,numeric__Cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,8.264.644.433,22.154.185.000,46.958.394.600,6.155.478.603,294.345.146,83.827.047.782,8264644433.0,22154185000.0,46958394600.0,6155478603.0,294345146.0,83827047782.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,5.437.530.809,22.090.980.500,46.905.681.517,5.725.752.929,2.378.642.319,82.538.588.074,5437530809.0,22090980500.0,46905681517.0,5725752929.0,2378642319.0,82538588074.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,2.827.113.624,63.204.500,52.713.083,429.725.674,(2.084.297.173),1.288.459.708,2827113624.0,63204500.0,52713083.0,429725674.0,-2084297173.0,1288459708.0
