row_label_raw,row_label_full,Chỉ tiêu,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
A,A,A,1,2,3,4,5,1.0,2.0,3.0,4.0,5.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,,,,,,
1. Số dư tại ngày 01 tháng 01 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1. Số dư tại ngày 01 tháng 01 năm 2020,1. Số dư tại ngày 01 tháng 01 năm 2020,2.993.097.200.000,50.510.908.328,6.196.436.959,(64.896.181.926),2.984.908.363.361,2993097200000.0,50510908328.0,6196436959.0,-64896181926.0,2984908363361.0
2. Tăng trong năm,2. Tăng trong năm,2. Tăng trong năm,-,-,-,-,-,,,,,
3. Giảm trong năm,2. Tăng trong năm > 3. Giảm trong năm,3. Giảm trong năm,-,-,-,(1.042.971.374.459),(1.042.971.374.459),,,,-1042971374459.0,-1042971374459.0
- Lỗ trong năm,2. Tăng trong năm > - Lỗ trong năm,- Lỗ trong năm,-,-,,(1.042.971.374.459),(1.042.971.374.459),,,,-1042971374459.0,-1042971374459.0
4. Số dư tại ngày 31 tháng 12 năm 2020,2. Tăng trong năm > 4. Số dư tại ngày 31 tháng 12 năm 2020,4. Số dư tại ngày 31 tháng 12 năm 2020,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.107.867.556.385),1.941.936.988.902,2993097200000.0,50510908328.0,6196436959.0,-1107867556385.0,1941936988902.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,,,,,
5. Số dư tại ngày 01 tháng 01 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > 5. Số dư tại ngày 01 tháng 01 năm 2021,5. Số dư tại ngày 01 tháng 01 năm 2021,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.107.867.556.385),1.941.936.988.902,2993097200000.0,50510908328.0,6196436959.0,-1107867556385.0,1941936988902.0
6. Tăng trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > 6. Tăng trong năm,6. Tăng trong năm,-,-,-,36.689.450.527,36.689.450.527,,,,36689450527.0,36689450527.0
- Lãi trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Lãi trong năm,- Lãi trong năm,-,-,,36.689.450.527,36.689.450.527,,,,36689450527.0,36689450527.0
7. Giảm trong năm,7. Giảm trong năm,7. Giảm trong năm,-,-,-,-,-,,,,,
8. Số dư tại ngày 31 tháng 12 năm 2021,7. Giảm trong năm > 8. Số dư tại ngày 31 tháng 12 năm 2021,8. Số dư tại ngày 31 tháng 12 năm 2021,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.071.178.105.858),1.978.626.439.429,2993097200000.0,50510908328.0,6196436959.0,-1071178105858.0,1978626439429.0
