row_label_raw,row_label_full,"Đầu tư vào các công ty liên kết, liên doanh(Thuyết minh số 17.2) > Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.3) > Đầu tư dài hạn khác (Thuyết minh số 17.4)",Số cuối năm > 1.602.030.153.562 > 20.868.879.905 > 763.251.332.167,VND Số đầu năm > 1.895.601.442.249 > 27.868.879.905 > 759.464.745.367,numeric__Số cuối năm > 1.602.030.153.562 > 20.868.879.905 > 763.251.332.167,numeric__VND Số đầu năm > 1.895.601.442.249 > 27.868.879.905 > 759.464.745.367
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.386.150.365.634,2.682.935.067.521,2386150365634.0,2682935067521.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(447.509.484.884),(462.783.592.364),-447509484884.0,-462783592364.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.938.640.880.750,2.220.151.475.157,1938640880750.0,2220151475157.0
