row_label_raw,row_label_full,col_0,Vốn cổ phần,Vốn khác thuộc vốn chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư và phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Vốn khác thuộc vốn chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư và phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,,,,
Số đầu năm (đã được trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Số đầu năm (đã được trình bày lại),Số đầu năm (đã được trình bày lại),6.412.811.860.000,3.208.666.226,(25.550.000.000),14.239.683.180,1.100.003.125.251,6.108.534.627,3.583.247.906.219,11.094.069.775.503,6412811860000.0,3208666226.0,-25550000000.0,14239683180.0,1100003125251.0,6108534627.0,3583247906219.0,11094069775503.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,4.477.971.866.799,4.477.971.866.799,,,,,,,4477971866799.0,4477971866799.0
Bán cổ phiếu quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,-,2.100.000.000,-,-,-,-,2.100.000.000,,,2100000000.0,,,,,2100000000.0
Cổ tức công bố,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,(3.846.349.230.840),(3.846.349.230.840),,,,,,,-3846349230840.0,-3846349230840.0
Trích quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Trích quỹ,Trích quỹ,-,-,-,-,18.278.639.620,1.000.000.000,(19.278.639.620),-,,,,,18278639620.0,1000000000.0,-19278639620.0,
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(307.716.580.255),(307.716.580.255),,,,,,,-307716580255.0,-307716580255.0
Trích lập quỹ công tác xã hội,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,-,-,-,-,-,-,(33.998.999.999),(33.998.999.999),,,,,,,-33998999999.0,-33998999999.0
Sử dụng quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,-,(1.067.797.588),(4.755.309.475),(5.823.107.063),,,,,,-1067797588.0,-4755309475.0,-5823107063.0
Chênh lệch tỷ giá,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,2.766.916.899,-,-,-,2.766.916.899,,,,2766916899.0,,,,2766916899.0
Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,-,-,-,-,116.530.439,-,84.211.209,200.741.648,,,,,116530439.0,,84211209.0,200741648.0
Tăng khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Tăng khác,Tăng khác,-,-,-,-,-,-,3.720.027.017,3.720.027.017,,,,,,,3720027017.0,3720027017.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Số cuối năm,Số cuối năm,6.412.811.860.000,3.208.666.226,(23.450.000.000),17.006.600.079,1.118.398.295.310,6.040.737.039,3.852.925.251.055,11.386.941.409.709,6412811860000.0,3208666226.0,-23450000000.0,17006600079.0,1118398295310.0,6040737039.0,3852925251055.0,11386941409709.0
