row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6),numeric__VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6)
Công ty Cổ phần Bao Bì Kho bãi Bình Tây,Công ty Cổ phần Bao Bì Kho bãi Bình Tây,Công ty Cổ phần Bao Bì Kho bãi Bình Tây,Bên liên quan,Trả trước tiền mua vật tư,252.720.400,-,,,252720400.0,
Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Bên liên quan,Trả trước tiền mua dịch vụ,1.659.200,-,,,1659200.0,
,,,,,254.379.600,-,,,254379600.0,
Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),Phải thu khác ngắn hạn (Thuyết minh số 7),,,,
Công ty Cổ phần Đầu tư Thương mại Tân Thành,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Thương mại Tân Thành,Công ty Cổ phần Đầu tư Thương mại Tân Thành,Công ty liên kết,Góp vốn bằng quyền sử dụng đất,277.230.733.543,277.230.733.543,,,277230733543.0,277230733543.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty liên kết,Thu chi hộ,10.657.771.029,9.688.882.754,,,10657771029.0,9688882754.0
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty liên kết,Phí sử dụng vỏ chai,1.114.686.039,-,,,1114686039.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết,Phí sử dụng vỏ chai,930.696.260,-,,,930696260.0,
,,,,Phải thu khác,325.000.000,-,,,325000000.0,
Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Bên liên quan,Phí sử dụng vỏ chai,348.526.333,-,,,348526333.0,
,,,,Phải thu khác,162.062.575,-,,,162062575.0,
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty liên kết,Phí sử dụng vỏ chai,496.718.521,2.020.000.000,,,496718521.0,2020000000.0
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty liên kết,Cổ tức,-,2.970.000.000,,,,2970000000.0
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Phải thu khác ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Bên liên quan,Cổ tức,83.916.000,-,,,83916000.0,
TỔNG CỘNG,Phải thu khác ngắn hạn (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,,291.350.110.300,291.909.616.297,,,291350110300.0,291909616297.0
