row_label_raw,row_label_full,Số cuối năm > %sở hữu,Số cuối năm > Giá trị khoảnđầu tư (VND),Số cuối năm > Dự phòng(VND),Số đầu năm > %sở hữu,Số đầu năm > Giá trị khoảnđầu tư (VND),Số đầu năm > Dự phòng(VND),numeric__Số cuối năm > Giá trị khoảnđầu tư (VND),numeric__Số cuối năm > Dự phòng(VND),numeric__Số đầu năm > %sở hữu,numeric__Số đầu năm > Giá trị khoảnđầu tư (VND),numeric__Số đầu năm > Dự phòng(VND)
"2,75","2,75","2,75",216.579.320.000,(154.139.135.264),"2,95",216.579.320.000,(158.864.894.000),216579320000.0,-154139135264.0,2.95,216579320000.0,-158864894000.0
"0,95","0,95","0,95",136.265.460.000,(126.798.368.000),"0,95",136.265.460.000,(120.015.196.582),136265460000.0,-126798368000.0,0.95,136265460000.0,-120015196582.0
"0,21","0,21","0,21",51.475.140.000,(39.385.841.400),"0,21",51.475.140.000,(39.143.084.400),51475140000.0,-39385841400.0,0.21,51475140000.0,-39143084400.0
"10,00","10,00","10,00",51.107.720.722,(33.731.120.722),"10,00",51.107.720.722,(36.230.900.722),51107720722.0,-33731120722.0,10.0,51107720722.0,-36230900722.0
"15,33","15,33","15,33",50.000.000.000,-,"16,45",50.000.000.000,-,50000000000.0,,16.45,50000000000.0,
"7,20","7,20","7,20",45.000.000.000,(15.958.630.635),"7,20",45.000.000.000,(38.430.000.000),45000000000.0,-15958630635.0,7.2,45000000000.0,-38430000000.0
"7,97","7,97","7,97",42.337.214.481,(24.851.604.453),"7,12",62.977.214.481,(18.638.703.340),42337214481.0,-24851604453.0,7.12,62977214481.0,-18638703340.0
"0,46","0,46","0,46",36.603.803.243,-,"0,46",36.603.803.243,-,36603803243.0,,0.46,36603803243.0,
"9,80","9,80","9,80",30.700.950.000,(23.938.950.000),"9,80",30.700.950.000,(23.056.950.000),30700950000.0,-23938950000.0,9.8,30700950000.0,-23056950000.0
"16,71","16,71","16,71",26.588.267.394,-,"16,71",26.588.267.394,-,26588267394.0,,16.71,26588267394.0,
"8,00","8,00","8,00",24.426.586.800,-,,-,-,24426586800.0,,,,
"5,29","5,29","5,29",23.085.000.000,(1.721.774.409),"5,29",23.085.000.000,(1.438.416.928),23085000000.0,-1721774409.0,5.29,23085000000.0,-1438416928.0
"8,35","8,35","8,35",14.992.108.200,-,"8,35",14.992.108.200,-,14992108200.0,,8.35,14992108200.0,
"3,64","3,64","3,64",5.600.000.000,(361.013.016),"3,64",5.600.000.000,(361.013.016),5600000000.0,-361013016.0,3.64,5600000000.0,-361013016.0
"10,38","10,38","10,38",3.954.000.000,(3.327.377.203),"10,38",3.954.000.000,(3.391.277.564),3954000000.0,-3327377203.0,10.38,3954000000.0,-3391277564.0
"1,89","1,89","1,89",1.161.147.000,-,"1,89",1.161.147.000,-,1161147000.0,,1.89,1161147000.0,
"6,00","6,00","6,00",300.000.000,-,"6,00",300.000.000,-,300000000.0,,6.0,300000000.0,
-,-,-,3.074.614.327,(2.344.275.907),-,3.074.614.327,(2.344.275.907),3074614327.0,-2344275907.0,,3074614327.0,-2344275907.0
,,,763.251.332.167,(426.558.091.009),,759.464.745.367,(441.914.712.459),763251332167.0,-426558091009.0,,759464745367.0,-441914712459.0
