row_label_raw,row_label_full,Giá vốn hàng bán và dịch vụ cung cấp,(19.586.557.965.165),(59.428.105.049),(19.645.986.070.214),numeric__(19.586.557.965.165),numeric__(59.428.105.049),numeric__(19.645.986.070.214)
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,7.557.743.622.179,(59.428.105.049),7.498.315.517.130,7557743622179.0,-59428105049.0,7498315517130.0
"Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",371.953.576.001,300.000.000,372.253.576.001,371953576001.0,300000000.0,372253576001.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.682.881.800.251),(83.944.903),(2.682.965.745.154),-2682881800251.0,-83944903.0,-2682965745154.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.110.422.928.996),(43.994.409.532),(1.154.417.338.528),-1110422928996.0,-43994409532.0,-1154417338528.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,4.433.244.318.056,(103.206.459.484),4.330.037.858.572,4433244318056.0,-103206459484.0,4330037858572.0
Chi phí khác,Chi phí khác,Chi phí khác,(95.884.889.205),(732.877.617),(96.617.766.822),-95884889205.0,-732877617.0,-96617766822.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,36.765.135.868,(732.877.617),36.032.258.251,36765135868.0,-732877617.0,36032258251.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,4.470.009.453.924,(103.939.337.101),4.366.070.116.823,4470009453924.0,-103939337101.0,4366070116823.0
Chi phí thuế,Chi phí thuế,Chi phí thuế,,,,,,
TNDN hiện hành,Chi phí thuế > TNDN hiện hành,TNDN hiện hành,(1.085.882.523.432),16.650.419.304,(1.069.232.104.128),-1085882523432.0,16650419304.0,-1069232104128.0
Thu nhập thuế,Thu nhập thuế,Thu nhập thuế,,,,,,
TNDN hoãn lại,Thu nhập thuế > TNDN hoãn lại,TNDN hoãn lại,215.969.195.687,(6.266.376.048),209.702.819.639,215969195687.0,-6266376048.0,209702819639.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,
TNDN,Lợi nhuận sau thuế > TNDN,TNDN,3.600.096.126.179,(93.555.293.845),3.506.540.832.334,3600096126179.0,-93555293845.0,3506540832334.0
Lợi nhuận sau thuế của cổ đông công ty mẹ,Lợi nhuận sau thuế > Lợi nhuận sau thuế của cổ đông công ty mẹ,Lợi nhuận sau thuế của cổ đông công ty mẹ,3.410.295.785.424,(93.555.293.845),3.316.740.491.579,3410295785424.0,-93555293845.0,3316740491579.0
Lãi cơ bản trên cổ phiếu,Lợi nhuận sau thuế > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,4.864,(171),4.693,4864.0,-171.0,4693.0
Lãi suy giảm trên cổ phiếu,Lợi nhuận sau thuế > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,4.864,(171),4.693,4864.0,-171.0,4693.0
