row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.042.309.667.870,1.051.664.640.371,1042309667870.0,1051664640371.0
Vay ngắn hạn từ ngân hàng,Vay ngắn hạn từ ngân hàng,Vay ngắn hạn từ ngân hàng,1.030.103.966.113,757.245.520.097,1030103966113.0,757245520097.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,12.205.701.757,294.419.120.274,12205701757.0,294419120274.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,164.412.285.558,610.451.263.039,164412285558.0,610451263039.0
Vay dài hạn từ ngân hàng,Vay dài hạn từ ngân hàng,Vay dài hạn từ ngân hàng,164.412.285.558,610.451.263.039,164412285558.0,610451263039.0
Tình hình tăng (giảm) các khoản vay như sau:,Tình hình tăng (giảm) các khoản vay như sau:,Tình hình tăng (giảm) các khoản vay như sau:,Tình hình tăng (giảm) các khoản vay như sau:,Tình hình tăng (giảm) các khoản vay như sau:,,
,,,VND,VND,,
,,,Vay ngắn hạn,Vay dài hạn,,
Số đầu năm,Tình hình tăng (giảm) các khoản vay như sau: > Số đầu năm,Số đầu năm,1.051.664.640.371,610.451.263.039,1051664640371.0,610451263039.0
Tiền thu từ đi vay,Tình hình tăng (giảm) các khoản vay như sau: > Tiền thu từ đi vay,Tiền thu từ đi vay,3.758.125.293.991,122.554.975.660,3758125293991.0,122554975660.0
Kết chuyển vay dài hạn đến hạn trả,Tình hình tăng (giảm) các khoản vay như sau: > Kết chuyển vay dài hạn đến hạn trả,Kết chuyển vay dài hạn đến hạn trả,10.797.154.709,(10.797.154.709),10797154709.0,-10797154709.0
Tiền chi trả nợ gốc vay,Tình hình tăng (giảm) các khoản vay như sau: > Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,(3.778.277.421.201),(557.796.798.432),-3778277421201.0,-557796798432.0
Số cuối năm,Tình hình tăng (giảm) các khoản vay như sau: > Số cuối năm,Số cuối năm,1.042.309.667.870,164.412.285.558,1042309667870.0,164412285558.0
Chi tiết của các khoản vay ngắn hạn ngân hàng như sau:,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau:,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau:,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau:,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau:,,
,,,VND,VND,,
,,,Số cuối năm,Số đầu năm,,
Ngân hàng TMCP Công Thương Việt Nam,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,575.471.744.046,475.835.215.358,575471744046.0,475835215358.0
Ngân hàng TMCP Quốc Tế,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Quốc Tế,Ngân hàng TMCP Quốc Tế,253.978.739.460,105.076.465.989,253978739460.0,105076465989.0
Ngân hàng TMCP Quân Đội Việt Nam,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Quân Đội Việt Nam,Ngân hàng TMCP Quân Đội Việt Nam,23.900.000.000,71.053.456.576,23900000000.0,71053456576.0
Ngân hàng TMCP Ngoại Thương Việt Nam,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Ngoại Thương Việt Nam,Ngân hàng TMCP Ngoại Thương Việt Nam,140.695.605.119,28.957.633.115,140695605119.0,28957633115.0
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,36.057.877.488,-,36057877488.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Chi tiết của các khoản vay ngắn hạn ngân hàng như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,-,76.322.749.059,,76322749059.0
,,,1.030.103.966.113,757.245.520.097,1030103966113.0,757245520097.0
