row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,67.695.049.694,128.076.322.684,67695049694.0,128076322684.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,33.368.166.651,75.317.583.274,33368166651.0,75317583274.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",12.586.932.949,7.050.022.440,12586932949.0,7050022440.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,7.023.851.235,10.663.812.475,7023851235.0,10663812475.0
Khác,Khác,Khác,14.716.098.859,35.044.904.495,14716098859.0,35044904495.0
Dài hạn,Dài hạn,Dài hạn,756.355.605.445,626.304.930.215,756355605445.0,626304930215.0
Bao bi sử dụng nhiều lần (i),Bao bi sử dụng nhiều lần (i),Bao bi sử dụng nhiều lần (i),445.979.831.990,369.023.501.018,445979831990.0,369023501018.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,96.101.895.929,69.612.617.502,96101895929.0,69612617502.0
Tiền thuê nhà kho,Tiền thuê nhà kho,Tiền thuê nhà kho,92.980.611.907,20.992.011.611,92980611907.0,20992011611.0
Tài sân chờ bàn giao (ii),Tài sân chờ bàn giao (ii),Tài sân chờ bàn giao (ii),51.602.316.000,51.602.316.000,51602316000.0,51602316000.0
"Chi phí sửa chữa, phụ tùng thay thế","Chi phí sửa chữa, phụ tùng thay thế","Chi phí sửa chữa, phụ tùng thay thế",34.114.699.663,33.353.255.701,34114699663.0,33353255701.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",14.681.959.031,9.545.792.243,14681959031.0,9545792243.0
Lợi thế kinh doanh,Lợi thế kinh doanh,Lợi thế kinh doanh,11.855.508.000,18.630.084.000,11855508000.0,18630084000.0
Khác,Khác,Khác,9.038.782.925,53.545.352.140,9038782925.0,53545352140.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,824.050.655.139,754.381.252.899,824050655139.0,754381252899.0
