row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39),numeric__Số cuối năm,numeric__VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39)
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,4.356.534.586,3.487.464.510,4356534586.0,3487464510.0
Phải thu thuế thu nhập cá nhân,Phải thu thuế thu nhập cá nhân,Phải thu thuế thu nhập cá nhân,6.830.212.392,-,6830212392.0,
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,1.285.345.132,,1285345132.0
Tài sản khác,Tài sản khác,Tài sản khác,8.985.138.304,15.415.827.702,8985138304.0,15415827702.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.171.885.282,20.188.637.344,20171885282.0,20188637344.0
