row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng,621.407.975.286,(187.710.031),621.220.265.255,numeric__621.407.975.286,numeric__(187.710.031),numeric__621.220.265.255
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,420.238.479.038,300.000.000,420.538.479.038,420238479038.0,300000000.0,420538479038.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(48.316.328.202),(5.500.341.447),(53.816.669.649),-48316328202.0,-5500341447.0,-53816669649.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,20.224.849.131,(36.211.787),20.188.637.344,20224849131.0,-36211787.0,20188637344.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(35.622.407.181),(2.498.528.190),(38.120.935.371),-35622407181.0,-2498528190.0,-38120935371.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,1.558.016.252.962,1.677.900.553,1.559.694.153.515,1558016252962.0,1677900553.0,1559694153515.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,857.038.445.950,3.404.342.887.644,4.261.381.333.594,857038445950.0,3404342887644.0,4261381333594.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,358.289.361.919,(307.598.283),357.981.763.636,358289361919.0,-307598283.0,357981763636.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,1.042.998.143.900,(137.700.000),1.042.860.443.900,1042998143900.0,-137700000.0,1042860443900.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,992.213.790.731,(992.213.790.731),-,992213790731.0,-992213790731.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,5.558.226.879.589,(1.974.978.973.370),3.583.247.906.219,5558226879589.0,-1974978973370.0,3583247906219.0
- Lợi nhuận sau thuế chưa phân phối lũy kế,- Lợi nhuận sau thuế chưa phân phối lũy kế,- Lợi nhuận sau thuế chưa phân phối lũy kế,2.147.931.094.165,(1.881.423.679.525),266.507.414.640,2147931094165.0,-1881423679525.0,266507414640.0
- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,3.410.295.785.424,(93.555.293.845),3.316.740.491.579,3410295785424.0,-93555293845.0,3316740491579.0
