row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 36),Số cuối năm > 405.682.889.005,VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39) > 467.982.545.475,numeric__Số cuối năm > 405.682.889.005,numeric__VND > Số đầu năm(dã được trình bày lại– Thuyết minh số 39) > 467.982.545.475
Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,145.535.841.604,153.237.719.780,145535841604.0,153237719780.0
Công ty Cổ phần Tập đoàn Hương Sen,Công ty Cổ phần Tập đoàn Hương Sen,Công ty Cổ phần Tập đoàn Hương Sen,26.069.471.834,54.166.338.772,26069471834.0,54166338772.0
Công ty khác,Công ty khác,Công ty khác,119.466.369.770,99.071.381.008,119466369770.0,99071381008.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,551.218.730.609,621.220.265.255,551218730609.0,621220265255.0
Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 8),Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 8),Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 8),(5.581.799.928),(16.827.742.509),-5581799928.0,-16827742509.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,545.636.930.681,604.392.522.746,545636930681.0,604392522746.0
