row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (đã được trình bày lại - Thuyết minh số 39),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã được trình bày lại - Thuyết minh số 39)
100,100,100,A.TÀI SẢN NGẮN HẠN,,10.714.345.997.642,12.198.336.712.046,,,10714345997642.0,12198336712046.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,3.444.825.444.503,7.935.974.303.078,,4.0,3444825444503.0,7935974303078.0
111,111,111,1. Tiền,,1.067.588.147.827,746.447.038.518,,,1067588147827.0,746447038518.0
112,112,112,2. Các khoản tương đương tiền,,2.377.237.296.676,7.189.527.264.560,,,2377237296676.0,7189527264560.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,3.174.321.174.216,942.766.940.162,,,3174321174216.0,942766940162.0
123,123,123,1. Đầu tư nắm giữ đến ngày đáo hạn,5,3.174.321.174.216,942.766.940.162,,5.0,3174321174216.0,942766940162.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.090.133.038.030,1.079.602.304.561,,,1090133038030.0,1079602304561.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6.1,551.218.730.609,621.220.265.255,,61.0,551218730609.0,621220265255.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6.2,166.784.656.218,71.471.592.573,,62.0,166784656218.0,71471592573.0
136,136,136,3. Phải thu ngắn hạn khác,7,401.803.944.623,420.538.479.038,,7.0,401803944623.0,420538479038.0
137,137,137,4. Dự phòng phải thu ngắn hạn khó đòi,8,(49.846.178.702),(53.816.669.649),,8.0,-49846178702.0,-53816669649.0
139,139,139,5. Tài sản thiếu chờ xử lý,11,20.171.885.282,20.188.637.344,,11.0,20171885282.0,20188637344.0
140,140,140,IV. Hàng tồn kho,9,2.126.217.402.717,1.922.405.062.875,,9.0,2126217402717.0,1922405062875.0
141,141,141,1. Hàng tồn kho,,2.171.045.269.254,1.960.525.998.246,,,2171045269254.0,1960525998246.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(44.827.866.537),(38.120.935.371),,,-44827866537.0,-38120935371.0
150,150,150,V. Tài sản ngắn hạn khác,,878.848.938.176,317.588.101.370,,,878848938176.0,317588101370.0
151,151,151,1. Chi phí trả trước ngắn hạn,12,67.695.049.694,128.076.322.684,,12.0,67695049694.0,128076322684.0
152,152,152,2. Thuế Giá trị gia tăng được khấu trừ,,133.496.752.127,70.979.568.404,,,133496752127.0,70979568404.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,10,677.657.136.355,118.475.310.282,,10.0,677657136355.0,118475310282.0
155,155,155,4. Tài sản ngắn hạn khác,,-,56.900.000,,,,56900000.0
