row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (đã được trình bày lại – Thuyết minh số 39),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (đã được trình bày lại – Thuyết minh số 39)
,,,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế Điều chỉnh cho các khoản:,,5.707.398.225.876,4.366.070.116.823,,,5707398225876.0,4366070116823.0
02,02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình,"13,14,16",633.843.505.732,635.241.633.774,,,633843505732.0,635241633774.0
03,03,03,Các khoản (hoàn nhập) trích lập dự phòng,,(7.126.993.043),22.840.437.585,,,-7126993043.0,22840437585.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,1.407.026,384.024.309,,,1407026.0,384024309.0
05,05,05,Lãi từ hoạt động đầu tư,,(1.070.371.334.844),(819.627.916.702),,,-1070371334844.0,-819627916702.0
06,06,06,Chi phí lãi vay,30,82.182.081.908,76.591.492.301,,30.0,82182081908.0,76591492301.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,5.345.926.892.655,4.281.499.788.090,,,5345926892655.0,4281499788090.0
09,09,09,Tăng các khoản phải thu,,(106.157.403.769),(105.417.374.006),,,-106157403769.0,-105417374006.0
10,10,10,Tăng hàng tồn kho,,(210.519.271.008),(84.932.768.024),,,-210519271008.0,-84932768024.0
11,11,11,Giảm các khoản phải trả,,(2.728.864.307.435),(670.960.706.553),,,-2728864307435.0,-670960706553.0
12,12,12,(Tăng) giảm chi phí trả trước,,(54.335.072.441),273.630.377.756,,,-54335072441.0,273630377756.0
14,14,14,Tiền lãi vay đã trả,,(87.165.769.568),(80.326.998.764),,,-87165769568.0,-80326998764.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,,(984.037.331.258),(1.211.869.431.681),,,-984037331258.0,-1211869431681.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(347.987.375.203),(243.887.887.842),,,-347987375203.0,-243887887842.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,826.860.361.973,2.157.734.998.976,,,826860361973.0,2157734998976.0
,,,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(280.897.550.560),(308.673.187.526),,,-280897550560.0,-308673187526.0
22,22,22,"Tiền thu do thanh lý, nhượng bán tài sản cố định",,40.502.081.658,4.037.308.250,,,40502081658.0,4037308250.0
23,23,23,Chi gửi tiền ngân hàng kỳ hạn,,(3.034.021.174.216),(473.591.606.830),,,-3034021174216.0,-473591606830.0
24,24,24,Tất toán tài khoản tiền gửi kỳ hạn và nhận góc trái phiếu,,809.466.940.162,569.067.236.337,,,809466940162.0,569067236337.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(27.824.678.187),(118.026.720.800),,,-27824678187.0,-118026720800.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,581.149.667.139,64.794.970.000,,,581149667139.0,64794970000.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,800.680.330.240,645.050.304.869,,,800680330240.0,645050304869.0
30,30,30,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động đầu tư,,(1.110.944.383.764),382.658.304.300,,,-1110944383764.0,382658304300.0
