row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm > Tăng trong năm > Giảm trong năm > Số cuối năm,Năm nay > Giá trị đầu tư > 1.148.983.527.630 > 3.000.000.000 > (336.840.550.000) > 815.142.977.630,VNDNăm trước > Giá trị đầu tư > 1.059.770.933.966 > 173.149.305.302 > (29.085.727.925) > 1.203.834.511.343,numeric__Năm nay > Giá trị đầu tư > 1.148.983.527.630 > 3.000.000.000 > (336.840.550.000) > 815.142.977.630,numeric__VNDNăm trước > Giá trị đầu tư > 1.059.770.933.966 > 173.149.305.302 > (29.085.727.925) > 1.203.834.511.343
"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh",,
Số đầu năm,"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Số đầu năm",Số đầu năm,746.617.914.619,576.250.442.828,746617914619.0,576250442828.0
"Lợi nhuận từ các công ty liên kết, liên doanh","Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Lợi nhuận từ các công ty liên kết, liên doanh","Lợi nhuận từ các công ty liên kết, liên doanh",305.649.678.623,372.253.576.001,305649678623.0,372253576001.0
Chênh lệch tỷ giá hối đoái,"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Chênh lệch tỷ giá hối đoái",Chênh lệch tỷ giá hối đoái,2.766.918.286,6.642.733.546,2766918286.0,6642733546.0
Thanh lý,"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Thanh lý",Thanh lý,(17.580.422.437),(14.701.597.713),-17580422437.0,-14701597713.0
Thu nhập cổ tức,"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Thu nhập cổ tức",Thu nhập cổ tức,(250.566.913.159),(248.678.223.756),-250566913159.0,-248678223756.0
Số cuối năm,"Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết, liên doanh > Số cuối năm",Số cuối năm,786.887.175.932,691.766.930.906,786887175932.0,691766930906.0
Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,,
Số đầu năm,Giá trị đầu tư còn lại > Số đầu năm,Số đầu năm,1.895.601.442.249,1.636.021.376.794,1895601442249.0,1636021376794.0
Số cuối năm,Giá trị đầu tư còn lại > Số cuối năm,Số cuối năm,1.602.030.153.562,1.895.601.442.249,1602030153562.0,1895601442249.0
