row_label_raw,row_label_full,Số đầu năm > Trích lập từ lợi nhuận sau thuế(Thuyết minh số 26.1 và 27),Năm nay > 299.092.046.550 > 335.640.766.431,VNDNăm trước > 226.469.149.208 > 314.204.776.891,numeric__Năm nay > 299.092.046.550 > 335.640.766.431,numeric__VNDNăm trước > 226.469.149.208 > 314.204.776.891
Chi trả,Chi trả,Chi trả,(304.207.973.110),(241.581.879.549),-304207973110.0,-241581879549.0
Số cuối năm,Số cuối năm,Số cuối năm,330.524.839.871,299.092.046.550,330524839871.0,299092046550.0
