row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (đã được trình bày lại – Thuyết minh số 39),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (đã được trình bày lại – Thuyết minh số 39)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,28.1,30.603.273.412.475,27.165.691.554.587,,281.0,30603273412475.0,27165691554587.0
02,02,02,2. Các khoản giảm trừ doanh thu,28.1,(34.595.644.700),(21.389.967.243),,281.0,-34595644700.0,-21389967243.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,28.1,30.568.677.767.775,27.144.301.587.344,,281.0,30568677767775.0,27144301587344.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,29,(22.301.142.642.021),(19.645.986.070.214),,29.0,-22301142642021.0,-19645986070214.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,8.267.535.125.754,7.498.315.517.130,,,8267535125754.0,7498315517130.0
21,21,21,6. Doanh thu hoạt động tài chính,28.2,751.041.069.989,418.646.983.429,,282.0,751041069989.0,418646983429.0
22,22,22,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,30,(68.664.200.785) (82.182.081.908),(121.795.134.306) (76.591.492.301),,30.0,,
23,23,23,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,30,(68.664.200.785) (82.182.081.908),(121.795.134.306) (76.591.492.301),,30.0,,
24,24,24,"8. Phản lãi trong công ty liên doanh, liên kết",17.2,305.649.678.623,372.253.576.001,,172.0,305649678623.0,372253576001.0
25,25,25,9. Chi phí bán hàng,31,(2.781.731.453.998),(2.682.965.745.154),,31.0,-2781731453998.0,-2682965745154.0
26,26,26,10. Chi phí quản lý doanh nghiệp,31,(781.828.733.942),(1.154.417.338.528),,31.0,-781828733942.0,-1154417338528.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,5.692.001.485.641,4.330.037.858.572,,,5692001485641.0,4330037858572.0
31,31,31,12. Thu nhập khác,32,128.295.160.294,132.650.025.073,,32.0,128295160294.0,132650025073.0
32,32,32,13. Chi phí khác,32,(112.898.420.059),(96.617.766.822),,32.0,-112898420059.0,-96617766822.0
40,40,40,14. Lợi nhuận khác,32,15.396.740.235,36.032.258.251,,32.0,15396740235.0,36032258251.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,5.707.398.225.876,4.366.070.116.823,,,5707398225876.0,4366070116823.0
51,51,51,16. Chi phí thuế TNDN hiện hành,34.1,(254.202.906.344),(1.069.232.104.128),,341.0,-254202906344.0,-1069232104128.0
52,52,52,17. (Chi phí) thu nhập thuế TNDN hoãn lại,34.3,(798.606.579.969),209.702.819.639,,343.0,-798606579969.0,209702819639.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,4.654.588.739.563,3.506.540.832.334,,,4654588739563.0,3506540832334.0
