row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,VND,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ,numeric__VND
Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),3.174.321.174.216,3.174.321.174.216,692.766.940.162,692.766.940.162,,3174321174216.0,3174321174216.0,692766940162.0,692766940162.0,
Trái phiếu (**),Trái phiếu (**),Trái phiếu (**),-,-,250.000.000.000,250.000.000.000,,,,250000000000.0,250000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.174.321.174.216,3.174.321.174.216,942.766.940.162,942.766.940.162,,3174321174216.0,3174321174216.0,942766940162.0,942766940162.0,
