row_label_raw,row_label_full,Ông Võ Thanh Hà > Ông Lê Hồng Xanh > Ông Vũ Quang Hải,Tổng Giám đốc > Phụ trách Ban Điều hành > Phó Tổng Giám đốc,được bổ nhiệm từ ngày 1 tháng 1 năm 2016đến ngày 11 tháng 8 năm 2016 > được bổ nhiệm từ ngày 12 tháng 8 năm 2016 > miễn nhiệm ngày 30 tháng 12 năm 2016,numeric__Tổng Giám đốc > Phụ trách Ban Điều hành > Phó Tổng Giám đốc,numeric__được bổ nhiệm từ ngày 1 tháng 1 năm 2016đến ngày 11 tháng 8 năm 2016 > được bổ nhiệm từ ngày 12 tháng 8 năm 2016 > miễn nhiệm ngày 30 tháng 12 năm 2016
Ông Nguyễn Minh An,Ông Nguyễn Minh An,Ông Nguyễn Minh An,Phó Tổng Giám đốc,,,
Ông Nguyễn Thành Nam,Ông Nguyễn Thành Nam,Ông Nguyễn Thành Nam,Phó Tổng Giám đốc,,,
