row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (đã được trình bày lại - Thuyết minh số 39),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã được trình bày lại - Thuyết minh số 39)
400,400,400,D. VỐN CHỦ SỞ HỮU,,12.433.180.070.596,12.089.724.745.961,,,12433180070596.0,12089724745961.0
410,410,410,I. Vốn chủ sở hữu,,12.433.142.670.596,12.089.687.345.961,,,12433142670596.0,12089687345961.0
411,411,411,1. Vốn cổ phần,26,6.412.811.860.000,6.412.811.860.000,,26.0,6412811860000.0,6412811860000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,6.412.811.860.000,6.412.811.860.000,,,6412811860000.0,6412811860000.0
414,414,414,2. Vốn khác của chú sở hữu,26,3.208.666.226,3.208.666.226,,26.0,3208666226.0,3208666226.0
415,415,415,3. Cổ phiếu quỹ,26,(23.450.000.000),(25.550.000.000),,26.0,-23450000000.0,-25550000000.0
417,417,417,4. Chênh lệch tỷ giá hối đoái,26,17.006.600.079,14.239.683.180,,26.0,17006600079.0,14239683180.0
418,418,418,5. Quỹ đầu tư phát triển,26,1.118.398.295.310,1.100.003.125.251,,26.0,1118398295310.0,1100003125251.0
420,420,420,6. Quỹ khác thuộc vốn chủ sở hữu,,6.040.737.039,6.108.534.627,,,6040737039.0,6108534627.0
421,421,421,7. Lợi nhuận sau thuế chưa phân phối,26,3.852.925.251.055,3.583.247.906.219,,26.0,3852925251055.0,3583247906219.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,2.229.887.250.407,266.507.414.640,,,2229887250407.0,266507414640.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.623.038.000.648,3.316.740.491.579,,,1623038000648.0,3316740491579.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,27,1.046.201.260.887,995.617.570.458,,27.0,1046201260887.0,995617570458.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,37.400.000,37.400.000,,,37400000.0,37400000.0
431,431,431,1. Nguồn kinh phí,,37.400.000,37.400.000,,,37400000.0,37400000.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,19.192.865.179.330,22.010.308.414.163,,,19192865179330.0,22010308414163.0
