row_label_raw,row_label_full,Số đầu năm > Tăng trong năm,Năm nay > 626.304.930.215 > 621.345.478.959,VNDNăm trước > 968.809.437.861 > 383.586.987.549,numeric__Năm nay > 626.304.930.215 > 621.345.478.959,numeric__VNDNăm trước > 968.809.437.861 > 383.586.987.549
Phân loại từ công cụ dụng cụ,Phân loại từ công cụ dụng cụ,Phân loại từ công cụ dụng cụ,39.371.508.636,-,39371508636.0,
Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,-,27.552.261.708,,27552261708.0
Chuyển từ tài sản có định hữu hình,Chuyển từ tài sản có định hữu hình,Chuyển từ tài sản có định hữu hình,-,123.574.959,,123574959.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(487.339.025.148),(749.547.257.653),-487339025148.0,-749547257653.0
Thanh lý,Thanh lý,Thanh lý,(42.243.688.739),-,-42243688739.0,
Phân loại sang chi phí trả trước ngắn hạn,Phân loại sang chi phí trả trước ngắn hạn,Phân loại sang chi phí trả trước ngắn hạn,(763.501.125),(4.220.074.209),-763501125.0,-4220074209.0
Giảm khác,Giảm khác,Giảm khác,(320.097.353),-,-320097353.0,
Số cuối năm,Số cuối năm,Số cuối năm,756.355.605.445,626.304.930.215,756355605445.0,626304930215.0
