row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(dã được trình bày lại– Thuyết minh số 39),numeric__Năm nay,numeric__VNDNăm trước(dã được trình bày lại– Thuyết minh số 39)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,5.707.398.225.876,4.366.070.116.823,5707398225876.0,4366070116823.0
Thuế TNDN theo thuế suất áp dụng cho các công ty trong Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho các công ty trong Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho các công ty trong Tổng Công ty,1.141.479.645.175,960.535.425.701,1141479645175.0,960535425701.0
U'u đãi thuế,U'u đãi thuế,U'u đãi thuế,(23.832.078.484),(37.061.903.123),-23832078484.0,-37061903123.0
Chênh lệch thuế suất giữa các công ty,Chênh lệch thuế suất giữa các công ty,Chênh lệch thuế suất giữa các công ty,5.916.222.092,(3.155.095.448),5916222092.0,-3155095448.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,
Thu nhập chưa thực hiện và không chịu thuế,Các điều chỉnh: > Thu nhập chưa thực hiện và không chịu thuế,Thu nhập chưa thực hiện và không chịu thuế,(81.739.526.356),(76.298.983.089),-81739526356.0,-76298983089.0
Các chi phí không được khấu trừ,Các điều chỉnh: > Các chi phí không được khấu trừ,Các chi phí không được khấu trừ,9.407.320.095,13.077.912.946,9407320095.0,13077912946.0
Điều chỉnh thuế TNDN trích thừa trong những năm trước,Các điều chỉnh: > Điều chỉnh thuế TNDN trích thừa trong những năm trước,Điều chỉnh thuế TNDN trích thừa trong những năm trước,960.284.243,-,960284243.0,
Lỗ năm trước chuyển sang,Các điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(481.010.731),-,-481010731.0,
Điều chỉnh khác,Các điều chỉnh: > Điều chỉnh khác,Điều chỉnh khác,1.098.630.279,2.431.927.502,1098630279.0,2431927502.0
Chi phí thuế TNDN,Các điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,1.052.809.486.313,859.529.284.489,1052809486313.0,859529284489.0
