row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm(dã được trình bày lại– Thuyết minh số 39) > (8.068.432.535),Số phải nộptrong năm > 1.537.758.642.107,Số đã nộptrong năm > (1.516.753.825.769),VND > Số cuối năm > 12.936.383.803,numeric__Số đầu năm(dã được trình bày lại– Thuyết minh số 39) > (8.068.432.535),numeric__Số phải nộptrong năm > 1.537.758.642.107,numeric__Số đã nộptrong năm > (1.516.753.825.769),numeric__VND > Số cuối năm > 12.936.383.803
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,3.861.269.388.802,6.802.624.828.268,(10.097.935.170.464),565.959.046.606,3861269388802.0,6802624828268.0,-10097935170464.0,565959046606.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",(2.600.733),26.199.243.138,(26.200.464.398),(3.821.993),-2600733.0,26199243138.0,-26200464398.0,-3821993.0
Thuế thu nhập doanh nghiệp (Thuyết minh số 34.1),Thuế thu nhập doanh nghiệp (Thuyết minh số 34.1),Thuế thu nhập doanh nghiệp (Thuyết minh số 34.1),129.013.523.736,254.202.906.344,(984.037.331.258),(600.820.901.178),129013523736.0,254202906344.0,-984037331258.0,-600820901178.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.675.854.315,118.304.645.934,(110.143.581.437),19.836.918.812,11675854315.0,118304645934.0,-110143581437.0,19836918812.0
Thuế đất,Thuế đất,Thuế đất,75.993.571.509,37.962.700.247,(120.020.382.576),(6.064.110.820),75993571509.0,37962700247.0,-120020382576.0,-6064110820.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.045.149.814,5.089.930.555,(6.363.695.369),771.385.000,2045149814.0,5089930555.0,-6363695369.0,771385000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.071.926.454.908,8.782.142.896.593,(12.861.454.451.271),(7.385.099.770),4071926454908.0,8782142896593.0,-12861454451271.0,-7385099770.0
22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN,,,,
,,,,,Số cuối năm,VND,,,,
,,,,,Số cuối năm,Số đầu năm(dã được trình bày lại– Thuyết minh số 39),,,,
"Chi phí hỗ trợ bán hàng, hoạt động khuyến mãi","22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí hỗ trợ bán hàng, hoạt động khuyến mãi","Chi phí hỗ trợ bán hàng, hoạt động khuyến mãi",,,253.666.860.813,203.657.809.824,,,253666860813.0,203657809824.0
Chi phí lãi vay,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí lãi vay,Chi phí lãi vay,,,15.834.742.881,20.818.430.541,,,15834742881.0,20818430541.0
Chi phí phải trả mua sắm tài sản cố định và xây dựng cơ bản dở dang,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí phải trả mua sắm tài sản cố định và xây dựng cơ bản dở dang,Chi phí phải trả mua sắm tài sản cố định và xây dựng cơ bản dở dang,,,6.150.864.833,20.140.530.914,,,6150864833.0,20140530914.0
Chi phí phải trả mua nguyên vật liệu,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí phải trả mua nguyên vật liệu,Chi phí phải trả mua nguyên vật liệu,,,5.735.836.630,6.090.523.368,,,5735836630.0,6090523368.0
Chi phí vận chuyển và bốc dở,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí vận chuyển và bốc dở,Chi phí vận chuyển và bốc dở,,,5.203.280.049,57.027.807.316,,,5203280049.0,57027807316.0
Chi phí thuê kho,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí thuê kho,Chi phí thuê kho,,,903.935.413,11.452.336.090,,,903935413.0,11452336090.0
Các khoản khác,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > Các khoản khác,Các khoản khác,,,88.466.191.072,38.794.325.583,,,88466191072.0,38794325583.0
TỔNG CỘNG,22. CHI PHÍ PHẢI TRẢ NGÁN HẠN > TỔNG CỘNG,TỔNG CỘNG,,,375.961.711.691,357.981.763.636,,,375961711691.0,357981763636.0
