row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,30.603.273.412.475,27.165.691.554.587,30603273412475.0,27165691554587.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bia,Trong đó: > Doanh thu bia,Doanh thu bia,26.169.206.173.886,23.674.701.803.634,26169206173886.0,23674701803634.0
Doanh thu bao bì vật tư,Trong đó: > Doanh thu bao bì vật tư,Doanh thu bao bì vật tư,3.815.794.413.249,2.936.146.219.276,3815794413249.0,2936146219276.0
Doanh thu nước giải khát,Trong đó: > Doanh thu nước giải khát,Doanh thu nước giải khát,448.745.801.188,373.353.790.592,448745801188.0,373353790592.0
Doanh thu cồn,Trong đó: > Doanh thu cồn,Doanh thu cồn,44.234.574.247,46.468.001.299,44234574247.0,46468001299.0
Doanh thu rượu,Trong đó: > Doanh thu rượu,Doanh thu rượu,24.803.435.392,30.103.115.434,24803435392.0,30103115434.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,100.489.014.513,104.918.624.352,100489014513.0,104918624352.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(34.595.644.700),(21.389.967.243),-34595644700.0,-21389967243.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(33.458.195.100),(19.682.476.899),-33458195100.0,-19682476899.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,-,(1.534.490.753),,-1534490753.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(1.137.449.600),(172.999.591),-1137449600.0,-172999591.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,30.568.677.767.775,27.144.301.587.344,30568677767775.0,27144301587344.0
