row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.687.051.406.988,6.971.290.304.128,205.648.107.997,130.359.778.452,7.117.481.563,9.001.467.079.128,1687051406988.0,6971290304128.0,205648107997.0,130359778452.0,7117481563.0,9001467079128.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,7.660.945.128,80.120.668.382,11.502.772.521,14.626.996.477,772.650.000,114.684.032.508,7660945128.0,80120668382.0,11502772521.0,14626996477.0,772650000.0,114684032508.0
Xây dựng cơ bản dở dang hoàn thành,Nguyên giá: > Xây dựng cơ bản dở dang hoàn thành,Xây dựng cơ bản dở dang hoàn thành,65.479.907.447,89.569.956.535,1.140.821.091,591.941.957,1.170.020.944,157.952.647.974,65479907447.0,89569956535.0,1140821091.0,591941957.0,1170020944.0,157952647974.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,204.583.840,234.407.892,-,-,-,438.991.732,204583840.0,234407892.0,,,,438991732.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(14.229.194.372),(91.847.717.702),(2.619.451.751),(1.714.965.478),-,(110.411.329.303),-14229194372.0,-91847717702.0,-2619451751.0,-1714965478.0,,-110411329303.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,-,(239.485.940),(26.363.591),-,-,(265.849.531),,-239485940.0,-26363591.0,,,-265849531.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(304.137.468),(269.384.625),(8.000.000),-,-,(581.522.093),-304137468.0,-269384625.0,-8000000.0,,,-581522093.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.745.863.511.563,7.048.858.748.670,215.637.886.267,143.863.751.408,9.060.152.507,9.163.284.050.415,1745863511563.0,7048858748670.0,215637886267.0,143863751408.0,9060152507.0,9163284050415.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,41.673.283.641,203.396.356.312,36.852.395.210,18.360.735.664,-,300.282.770.827,41673283641.0,203396356312.0,36852395210.0,18360735664.0,,300282770827.0
Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,Giá trị khấu hao:,,,,,,
Số đầu năm,Giá trị khấu hao: > Số đầu năm,Số đầu năm,560.425.995.767,3.400.156.463.192,124.038.619.286,70.451.968.599,2.525.450.061,4.157.598.496.905,560425995767.0,3400156463192.0,124038619286.0,70451968599.0,2525450061.0,4157598496905.0
Khấu hao trong năm,Giá trị khấu hao: > Khấu hao trong năm,Khấu hao trong năm,105.601.323.640,475.523.571.271,21.223.110.019,13.005.331.510,3.599.961.324,618.953.297.764,105601323640.0,475523571271.0,21223110019.0,13005331510.0,3599961324.0,618953297764.0
"Thanh lý, nhượng bán","Giá trị khấu hao: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.712.402.175),(78.500.618.725),(2.619.451.752),(1.458.974.266),-,(91.291.446.918),-8712402175.0,-78500618725.0,-2619451752.0,-1458974266.0,,-91291446918.0
Phân loại khấu hao,Giá trị khấu hao: > Phân loại khấu hao,Phân loại khấu hao,-,-,(6.590.700),(6.590.700),-,(13.181.400),,,-6590700.0,-6590700.0,,-13181400.0
Số cuối năm,Giá trị khấu hao: > Số cuối năm,Số cuối năm,657.314.917.232,3.797.179.415.738,142.635.686.853,81.991.735.143,6.125.411.385,4.685.247.166.351,657314917232.0,3797179415738.0,142635686853.0,81991735143.0,6125411385.0,4685247166351.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.126.625.411.221,3.571.133.840.936,81.609.488.711,59.907.809.853,4.592.031.502,4.843.868.582.223,1126625411221.0,3571133840936.0,81609488711.0,59907809853.0,4592031502.0,4843868582223.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.088.548.594.331,3.251.679.332.932,73.002.199.414,61.872.016.265,2.934.741.122,4.478.036.884.064,1088548594331.0,3251679332932.0,73002199414.0,61872016265.0,2934741122.0,4478036884064.0
Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 25),Giá trị còn lại: > Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 25),Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 25),127.095.085.134,515.376.885.334,3.198.893.581,113.324.091,2.916.261.084,648.700.449.224,127095085134.0,515376885334.0,3198893581.0,113324091.0,2916261084.0,648700449224.0
