row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm (đã được trình bày lại – Thuyết minh số 39),Năm nay,Năm trước (đã được trình bày lại – Thuyết minh số 39),,,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,808.126.246.476,(808.126.246.476),128.954.750.634,,808126246476.0,-808126246476.0,128954750634.0
Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,98.414.042.920,76.329.117.152,22.084.925.768,19.256.939.345,98414042920.0,76329117152.0,22084925768.0,19256939345.0
Lợi thể thương mại,Lợi thể thương mại,Lợi thể thương mại,11.820.807.358,20.896.412.881,(9.075.605.523),20.896.412.881,11820807358.0,20896412881.0,-9075605523.0,20896412881.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,7.719.581.849,12.384.880.850,(4.665.299.001),12.384.880.850,7719581849.0,12384880850.0,-4665299001.0,12384880850.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,2.526.524.534,1.822.212.867,704.311.667,1.600.000.000,2526524534.0,1822212867.0,704311667.0,1600000000.0
Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,801.672.706,1.275.549.636,(473.876.930),(1.358.117.487),801672706.0,1275549636.0,-473876930.0,-1358117487.0
Các khoản khác,Các khoản khác,Các khoản khác,-,490.707.790,(490.707.790),2.592,,490707790.0,-490707790.0,2592.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,121.282.629.367,921.325.127.652,,,121282629367.0,921325127652.0,,
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,(8.584.452.175),(9.952.674.140),1.368.221.965,28.666.905.400,-8584452175.0,-9952674140.0,1368221965.0,28666905400.0
Chênh lệch chi phí khấu hao,Chênh lệch chi phí khấu hao,Chênh lệch chi phí khấu hao,(3.983.035.596),(3.932.731.947),(50.303.649),599.045.424,-3983035596.0,-3932731947.0,-50303649.0,599045424.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(1.180.000.000),(1.298.000.000),118.000.000,(1.298.000.000),-1180000000.0,-1298000000.0,118000000.0,-1298000000.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,(13.747.487.771),(15.183.406.087),,,-13747487771.0,-15183406087.0,,
Tổng (chi phí) thu nhập thuế TNDN hoãn lại,Tổng (chi phí) thu nhập thuế TNDN hoãn lại,Tổng (chi phí) thu nhập thuế TNDN hoãn lại,,,(798.606.579.969),209.702.819.639,,,-798606579969.0,209702819639.0
