row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Người mua ứng tiền trước,Người mua ứng tiền trước,Người mua ứng tiền trước,Người mua ứng tiền trước,Người mua ứng tiền trước,Người mua ứng tiền trước,Người mua ứng tiền trước,,,,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Người mua ứng tiền trước > Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty liên kết,Tạm ứng tiền mua hàng,73.831.956,-,,,73831956.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Người mua ứng tiền trước > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết,Tạm ứng tiền mua hàng,57.720.000,-,,,57720000.0,
TỔNG CỘNG,Người mua ứng tiền trước > TỔNG CỘNG,TỔNG CỘNG,,,131.551.956,-,,,131551956.0,
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,,
Công ty Cổ phần Tư vấn Đầu tư và Chuyển giao Công nghệ Thành Nam,Phải trả khác ngắn hạn > Công ty Cổ phần Tư vấn Đầu tư và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư và Chuyển giao Công nghệ Thành Nam,Công ty liên kết,Phải trả khác,340.000.000,340.000.000,,,340000000.0,340000000.0
Công ty Cổ phần Bia Sài Gòn - Bình Tây,Phải trả khác ngắn hạn > Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty liên kết,Phải trả khác,287.780.949,-,,,287780949.0,
Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Phải trả khác ngắn hạn > Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải & Giao nhận Bia Sài Gòn,Bên liên quan,Phải trả khác,195.251.930,-,,,195251930.0,
Công ty TNHH Bao bì Kho bãi Bình Tây,Phải trả khác ngắn hạn > Công ty TNHH Bao bì Kho bãi Bình Tây,Công ty TNHH Bao bì Kho bãi Bình Tây,Công ty liên kết,Phải trả khác,-,1.226.708.799,,,,1226708799.0
TỔNG CỘNG,Phải trả khác ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,823.032.879,1.566.708.799,,,823032879.0,1566708799.0
Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,,,,
Công ty TNHH Bao bì Samiguel Phú Thọ,Phải trả khác dài hạn > Công ty TNHH Bao bì Samiguel Phú Thọ,Công ty TNHH Bao bì Samiguel Phú Thọ,Công ty liên doanh,Tiền thuê đất phải trả cho nhà nước,51.602.316.000,51.602.316.000,,,51602316000.0,51602316000.0
